Entity2,Entity1
target:Lip,source:lower lip
target:External_Upper_Lip,source:upper lip
target:External_Lower_Lip,source:lower lip
target:External_Lip,source:lip
target:Mucosa_of_the_Upper_Lip,source:upper lip
target:Mucosa_of_the_Lower_Lip,source:lower lip
target:Palate,source:palate
target:Hard_Palate,source:hard palate
target:Soft_Palate,source:soft palate
target:Submandibular_Gland,source:submandibular gland
target:Sublingual_Salivary_Gland,source:sublingual gland
target:Tonsillar_Fossa,source:tonsil crypt
target:Tonsillar_Pillar,source:palatine tonsil
target:Anterior_Surface_of_the_Epiglottis,source:epiglottic cartilage
target:Lateral_Wall_of_the_Oropharynx,source:oropharynx
target:Posterior_Wall_of_the_Oropharynx,source:oropharynx
target:Superior_Wall_of_the_Nasopharynx,source:nasopharynx
target:Posterior_Wall_of_the_Nasopharynx,source:nasopharynx
target:Lateral_Wall_of_the_Nasopharynx,source:nasopharynx
target:Anterior_Wall_of_the_Nasopharynx,source:nasopharynx
target:Hypopharynx,source:hypopharynx
target:Posterior_Wall_of_the_Hypopharynx,source:hypopharynx
target:Cervical_Esophagus,source:esophagus
target:Thoracic_Esophagus,source:esophagus
target:Abdominal_Esophagus,source:esophagus
target:Cardia,source:stomach cardiac region
target:Fundus_of_the_Stomach,source:stomach fundus
target:Body_of_Stomach,source:stomach body
target:Antrum_Pylori,source:stomach pyloric antrum
target:Pylorus,source:stomach pyloric region
target:Lesser_Curvature,source:stomach lesser curvature
target:Greater_Curvature,source:stomach greater curvature
target:Duodenum,source:duodenum
target:Ascending_Colon,source:ascending colon
target:Descending_Colon,source:descending colon
target:Head_of_the_Pancreas,source:pancreas head
target:Body_of_the_Pancreas,source:pancreas body
target:Tail_of_the_Pancreas,source:pancreas tail
target:Pancreatic_Duct,source:pancreatic duct
target:Middle_Ear,source:middle ear
target:Maxillary_Sinus,source:maxillary sinus
target:Ethmoid_Sinus,source:ethmoid sinus
target:Frontal_Sinus,source:frontal sinus
target:Sphenoid_Sinus,source:sphenoid sinus
target:Laryngeal_Cartilage,source:larynx cartilage
target:Main_Bronchus,source:main bronchus
target:Lung_Upper_Lobe,source:right lung cranial lobe
target:Middle_Lobe_of_the_Right_Lung,source:right lung middle lobe
target:Lung_Lower_Lobe,source:right lung lobe
target:Mandible,source:mandible
target:Skin_of_the_Lip,source:lip skin
target:External_Ear,source:outer ear
target:Skin_of_the_Scalp_and_Neck,source:head/neck skin
target:Skin_of_the_Trunk,source:trunk skin
target:Skin_of_the_Upper_Limb_and_Shoulder,source:shoulder skin
target:Skin_of_the_Lower_Limb_and_Hip,source:lower leg skin
target:Nipple,source:nipple
target:Labium_Majus,source:labium
target:Labium_Minus,source:labium
target:Clitoris,source:clitoris
target:Endocervix,source:cervix epithelium
target:Ectocervix,source:cervix epithelium
target:Cervix,source:uterine cervix
target:Endometrium,source:endometrium
target:Myometrium,source:myometrium
target:Fundus_Uteri,source:uterus
target:Corpus_Uteri,source:uterus
target:Prepuce,source:prepuce
target:Glans_Penis,source:glans penis
target:Body_of_the_Penis,source:penis
target:Epididymis,source:epididymis
target:Spermatic_Cord,source:internal spermatic vein
target:Bladder_Trigone,source:urinary bladder trigone
target:Lateral_Wall_of_the_Bladder,source:urinary bladder wall
target:Anterior_Wall_of_the_Bladder,source:urinary bladder wall
target:Posterior_Wall_of_the_Bladder,source:urinary bladder wall
target:Bladder_Neck,source:urinary bladder neck
target:Ureteric_Orifice,source:ureteric tip
target:Paraurethral_Gland,source:bulbourethral gland
target:Conjunctiva,source:conjunctiva
target:Cornea,source:cornea
target:Retina,source:retina
target:Choroid,source:choroid
target:Ciliary_Body,source:ciliary body
target:Lacrimal_Gland,source:lacrimal gland
target:Orbit,source:orbit
target:Meninges,source:meninges
target:Cerebral_Meninges,source:brain meninges
target:Spinal_Meninges,source:spinal cord meninges
target:Cerebral_Hemisphere,source:cerebral hemisphere
target:Frontal_Lobe,source:frontal cortex
target:Temporal_Lobe,source:temporal cortex
target:Parietal_Lobe_of_the_Brain,source:parietal cortex
target:Occipital_Lobe,source:occipital cortex
target:Ventricle_Brain,source:brain ventricle
target:Head_and_Neck_Lymph_Node,source:cervical lymph node
target:Intra-abdominal_Lymph_Node,source:lymph node
target:Lymph_Node_of_Inguinal_Region_or_Leg,source:inguinal lymph node
target:Pelvic_Lymph_Node,source:lymph node
target:Bone,source:bone
target:Mammary_Gland,source:mammary gland
target:Areola,source:areola
target:Breast_Fat_Pad,source:fat pad
target:Mammary_Gland_Tissue,source:mammary gland
target:Myocardium,source:myocardium
target:Artery,source:artery
target:Cartilage,source:cartilage
target:Connective_Tissue,source:connective tissue
target:Anal_Canal,source:anal canal
target:Bile_Duct,source:bile duct
target:Gallbladder,source:gall bladder
target:Gastrointestinal_System,source:gastrointestinal system
target:Large_Intestine,source:large intestine
target:Vermiform_Appendix,source:appendix
target:Cecum,source:cecum
target:Colon,source:colon
target:Right_Colon,source:ascending colon
target:Sigmoid_Colon,source:descending colon
target:Transverse_Colon,source:transverse colon
target:Small_Intestine,source:small intestine
target:Ileum,source:ileum
target:Jejunum,source:jejunum
target:Esophagus,source:esophagus
target:Rectum,source:rectum
target:Stomach,source:stomach
target:Liver,source:liver
target:Pancreas,source:pancreas
target:Ear,source:ear
target:Cochlea,source:cochlea
target:Adrenal_Cortex,source:adrenal gland cortex
target:Adrenal_Medulla,source:adrenal gland medulla
target:Pineal_Gland,source:pineal gland
target:Pituitary_Gland,source:pituitary gland
target:Thyroid_Gland,source:thyroid gland
target:Eye,source:eye
target:Female_Reproductive_System,source:female reproductive system
target:Fallopian_Tube,source:oviduct
target:Ovary,source:ovary
target:Uterus,source:uterus
target:Pregnant_Uterus,source:uterus
target:Vagina,source:vagina
target:Vulva,source:vulva
target:Penis,source:penis
target:Prostate_Gland,source:prostate gland
target:Prostate_MF,source:prostate gland secretion
target:Testis,source:testis
target:Urinary_System,source:renal/urinary system
target:Bladder,source:urinary bladder
target:Kidney,source:kidney
target:Ureter,source:ureter
target:Urethra,source:urethra
target:Head_and_Neck,source:head/neck
target:Head,source:head
target:Larynx,source:larynx
target:Oral_Cavity,source:mouth
target:Tongue,source:tongue
target:Nasopharynx,source:nasopharynx
target:Nasal_Cavity,source:nasal cavity
target:Pharynx,source:pharynx
target:Salivary_Gland,source:salivary gland
target:Parotid_Gland,source:parotid gland
target:Trachea,source:trachea
target:Limb,source:limb
target:Bone_Marrow,source:bone marrow
target:Spleen,source:spleen
target:Thymus_Gland,source:thymus
target:Blood,source:blood
target:Muscle_Tissue,source:muscle tissue
target:Striated_Muscle_Tissue,source:striated muscle tissue
target:Smooth_Muscle_Tissue,source:smooth muscle tissue
target:Central_Nervous_System,source:central nervous system
target:Brain,source:brain
target:Amygdala,source:amygdala
target:Brain_Stem,source:brainstem
target:Medulla_Oblongata,source:medulla oblongata
target:Cortex,source:cerebral cortex
target:Hippocampus,source:hippocampus region
target:Cerebellum,source:cerebellum
target:Corpus_Callosum,source:corpus callosum
target:Basal_Ganglia,source:basal ganglia
target:Corpus_Striatum,source:striatum
target:Globus_Pallidus,source:globus pallidus
target:Caudate_Nucleus,source:caudate nucleus
target:Putamen,source:putamen
target:Substantia_Nigra,source:substantia nigra
target:Subthalamic_Nucleus,source:subthalamic nucleus
target:Prosencephalon,source:forebrain
target:Diencephalon,source:diencephalon
target:Epithalamus,source:epithalamus
target:Hypothalamus,source:hypothalamus
target:Thalamus,source:thalamus
target:Tectum_Mesencephali,source:tectum
target:Corpora_Quadrigemina,source:corpora quadrigemina
target:Dorsal_Root_Ganglion,source:dorsal root ganglion
target:Spinal_Cord,source:spinal cord
target:Peripheral_Nervous_System,source:peripheral nervous system
target:Nerve,source:nerve
target:Sympathetic_Ganglion,source:sympathetic ganglion
target:Lung,source:lung
target:Pleural_Tissue,source:pleura
target:Skin,source:skin
target:Adipose_Tissue,source:adipose tissue
target:Synovial_Membrane,source:synovium
target:Basal_Cell,source:epidermis stratum basale
target:T-Lymphocyte,source:lymphoid system
target:Ductal_Epithelial_Cell,source:mammary gland epithelium
target:Endothelium,source:blood vessel endothelium
target:Neuroendocrine_Cell,source:neuroendocrine gland
target:Base_of_the_Skull,source:cranium
target:Jugular_Foramen,source:internal jugular vein
target:External_Acoustic_Meatus,source:external acoustic meatus
target:Internal_Ear,source:inner ear
target:Eustachian_Tube,source:auditory tube
target:Tympanic_Membrane,source:tympanic membrane
target:Tooth,source:tooth
target:Mesencephalon,source:midbrain
target:Pons_Varolii,source:pons
target:Sagittal_Sinus,source:superior sagittal sinus
target:Superior_Sagittal_Sinus,source:superior sagittal sinus
target:Lymphocyte,source:lymphoid system
target:Bone_Marrow_Blood-Forming_Cell,source:bone marrow
target:Hematopoietic_Stem_Cell,source:hematopoietic system
target:Connective_and_Soft_Tissue_Cell,source:connective tissue
target:Adipocyte,source:adipose tissue
target:Chondrocyte,source:cellular cartilage
target:Theca_Cell,source:ovary theca
target:Endocrine_Cell_of_the_Gastrointestinal_System,source:endocrine pancreas secretion
target:Delta_Cell,source:pancreatic islet
target:Enterocyte,source:small intestine epithelium
target:Goblet_Cell,source:lower respiratory tract epithelium
target:Granulosa_Cell,source:ovary stratum granulosum
target:Hepatocyte,source:liver parenchyma
target:Supporting_Cell_of_Organ_of_Corti,source:inner ear epithelium
target:Sertoli_Cell,source:seminiferous tubule epithelium
target:Egg,source:unfertilized egg
target:Primary_Oocyte,source:ovary primordial follicle
target:Islet_of_Langerhans,source:pancreatic islet
target:Leydig_Cell,source:testis interstitial tissue
target:Muscle_Cell,source:muscle tissue
target:Follicular_Dendritic_Cell,source:lymph node secondary follicle
target:Preganglionic_Autonomic_Fiber,source:autonomic ganglion
target:Hair_Cell,source:inner ear epithelium
target:Type_I_Hair_Cell,source:spiral organ
target:Vestibular_Hair_Cell,source:inner ear epithelium
target:Olfactory_Receptor_Neuron,source:olfactory receptor nerve
