Entity1,Entity2
http://omim.org/entry/100100,http://www.orpha.net/ORDO/Orphanet_2970
http://omim.org/entry/100800,http://www.orpha.net/ORDO/Orphanet_15
http://omim.org/entry/101200,http://www.orpha.net/ORDO/Orphanet_87
http://omim.org/entry/101400,http://www.orpha.net/ORDO/Orphanet_794
http://omim.org/entry/101600,http://www.orpha.net/ORDO/Orphanet_710
http://omim.org/entry/102150,http://www.orpha.net/ORDO/Orphanet_965
http://omim.org/entry/102370,http://www.orpha.net/ORDO/Orphanet_969
http://omim.org/entry/102400,http://www.orpha.net/ORDO/Orphanet_444316
http://omim.org/entry/102500,http://www.orpha.net/ORDO/Orphanet_955
http://omim.org/entry/102510,http://www.orpha.net/ORDO/Orphanet_957
http://omim.org/entry/102520,http://www.orpha.net/ORDO/Orphanet_971
http://omim.org/entry/103050,http://www.orpha.net/ORDO/Orphanet_46
http://omim.org/entry/103200,http://www.orpha.net/ORDO/Orphanet_36397
http://omim.org/entry/103285,http://www.orpha.net/ORDO/Orphanet_978
http://omim.org/entry/104570,http://www.orpha.net/ORDO/Orphanet_1028
http://omim.org/entry/105805,http://www.orpha.net/ORDO/Orphanet_99092
http://omim.org/entry/105830,http://www.orpha.net/ORDO/Orphanet_72
http://omim.org/entry/105835,http://www.orpha.net/ORDO/Orphanet_63442
http://omim.org/entry/106190,http://www.orpha.net/ORDO/Orphanet_468666
http://omim.org/entry/106400,http://www.orpha.net/ORDO/Orphanet_2206
http://omim.org/entry/106750,http://www.orpha.net/ORDO/Orphanet_69125
http://omim.org/entry/107250,http://www.orpha.net/ORDO/Orphanet_91483
http://omim.org/entry/109000,http://www.orpha.net/ORDO/Orphanet_114
http://omim.org/entry/109300,http://www.orpha.net/ORDO/Orphanet_1228
http://omim.org/entry/110050,http://www.orpha.net/ORDO/Orphanet_1252
http://omim.org/entry/112200,http://www.orpha.net/ORDO/Orphanet_1059
http://omim.org/entry/112310,http://www.orpha.net/ORDO/Orphanet_1263
http://omim.org/entry/112350,http://www.orpha.net/ORDO/Orphanet_3344
http://omim.org/entry/112910,http://www.orpha.net/ORDO/Orphanet_99094
http://omim.org/entry/113477,http://www.orpha.net/ORDO/Orphanet_1292
http://omim.org/entry/113500,http://www.orpha.net/ORDO/Orphanet_183570
