Entity1,Entity2
http://taxref.mnhn.fr/lod/taxon/187502/13.0,http://purl.obolibrary.org/obo/NCBITaxon_2
http://taxref.mnhn.fr/lod/taxon/187667/13.0,http://purl.obolibrary.org/obo/NCBITaxon_1118
http://taxref.mnhn.fr/lod/taxon/187668/13.0,http://purl.obolibrary.org/obo/NCBITaxon_1890426
http://taxref.mnhn.fr/lod/taxon/187669/13.0,http://purl.obolibrary.org/obo/NCBITaxon_1890464
http://taxref.mnhn.fr/lod/taxon/187671/13.0,http://purl.obolibrary.org/obo/NCBITaxon_1890428
http://taxref.mnhn.fr/lod/taxon/187759/13.0,http://purl.obolibrary.org/obo/NCBITaxon_1161
http://taxref.mnhn.fr/lod/taxon/187761/13.0,http://purl.obolibrary.org/obo/NCBITaxon_1150
http://taxref.mnhn.fr/lod/taxon/187808/13.0,http://purl.obolibrary.org/obo/NCBITaxon_1890431
http://taxref.mnhn.fr/lod/taxon/187858/13.0,http://purl.obolibrary.org/obo/NCBITaxon_1162
http://taxref.mnhn.fr/lod/taxon/187864/13.0,http://purl.obolibrary.org/obo/NCBITaxon_1892254
http://taxref.mnhn.fr/lod/taxon/187876/13.0,http://purl.obolibrary.org/obo/NCBITaxon_1892249
http://taxref.mnhn.fr/lod/taxon/187888/13.0,http://purl.obolibrary.org/obo/NCBITaxon_1185
http://taxref.mnhn.fr/lod/taxon/187891/13.0,http://purl.obolibrary.org/obo/NCBITaxon_1182
http://taxref.mnhn.fr/lod/taxon/187899/13.0,http://purl.obolibrary.org/obo/NCBITaxon_1189
http://taxref.mnhn.fr/lod/taxon/189106/13.0,http://purl.obolibrary.org/obo/NCBITaxon_1163
http://taxref.mnhn.fr/lod/taxon/189290/13.0,http://purl.obolibrary.org/obo/NCBITaxon_1175
http://taxref.mnhn.fr/lod/taxon/189292/13.0,http://purl.obolibrary.org/obo/NCBITaxon_1119
http://taxref.mnhn.fr/lod/taxon/189298/13.0,http://purl.obolibrary.org/obo/NCBITaxon_1121
http://taxref.mnhn.fr/lod/taxon/190246/13.0,http://purl.obolibrary.org/obo/NCBITaxon_1186
http://taxref.mnhn.fr/lod/taxon/190631/13.0,http://purl.obolibrary.org/obo/NCBITaxon_217161
http://taxref.mnhn.fr/lod/taxon/190772/13.0,http://purl.obolibrary.org/obo/NCBITaxon_70190
http://taxref.mnhn.fr/lod/taxon/191425/13.0,http://purl.obolibrary.org/obo/NCBITaxon_56106
http://taxref.mnhn.fr/lod/taxon/192881/13.0,http://purl.obolibrary.org/obo/NCBITaxon_1521557
http://taxref.mnhn.fr/lod/taxon/194350/13.0,http://purl.obolibrary.org/obo/NCBITaxon_28073
http://taxref.mnhn.fr/lod/taxon/194629/13.0,http://purl.obolibrary.org/obo/NCBITaxon_53402
http://taxref.mnhn.fr/lod/taxon/194711/13.0,http://purl.obolibrary.org/obo/NCBITaxon_188910
http://taxref.mnhn.fr/lod/taxon/194719/13.0,http://purl.obolibrary.org/obo/NCBITaxon_44471
http://taxref.mnhn.fr/lod/taxon/194720/13.0,http://purl.obolibrary.org/obo/NCBITaxon_1125
http://taxref.mnhn.fr/lod/taxon/195256/13.0,http://purl.obolibrary.org/obo/NCBITaxon_1177
http://taxref.mnhn.fr/lod/taxon/195568/13.0,http://purl.obolibrary.org/obo/NCBITaxon_1158
http://taxref.mnhn.fr/lod/taxon/196160/13.0,http://purl.obolibrary.org/obo/NCBITaxon_1198
http://taxref.mnhn.fr/lod/taxon/196432/13.0,http://purl.obolibrary.org/obo/NCBITaxon_44474
http://taxref.mnhn.fr/lod/taxon/196738/13.0,http://purl.obolibrary.org/obo/NCBITaxon_1152
http://taxref.mnhn.fr/lod/taxon/197555/13.0,http://purl.obolibrary.org/obo/NCBITaxon_1203
http://taxref.mnhn.fr/lod/taxon/198009/13.0,http://purl.obolibrary.org/obo/NCBITaxon_221292
http://taxref.mnhn.fr/lod/taxon/198144/13.0,http://purl.obolibrary.org/obo/NCBITaxon_1129
http://taxref.mnhn.fr/lod/taxon/198145/13.0,http://purl.obolibrary.org/obo/NCBITaxon_1142
http://taxref.mnhn.fr/lod/taxon/522874/13.0,http://purl.obolibrary.org/obo/NCBITaxon_1224
http://taxref.mnhn.fr/lod/taxon/524151/13.0,http://purl.obolibrary.org/obo/NCBITaxon_1236
http://taxref.mnhn.fr/lod/taxon/524798/13.0,http://purl.obolibrary.org/obo/NCBITaxon_1117
http://taxref.mnhn.fr/lod/taxon/525431/13.0,http://purl.obolibrary.org/obo/NCBITaxon_135623
http://taxref.mnhn.fr/lod/taxon/525443/13.0,http://purl.obolibrary.org/obo/NCBITaxon_72273
http://taxref.mnhn.fr/lod/taxon/525775/13.0,http://purl.obolibrary.org/obo/NCBITaxon_641
http://taxref.mnhn.fr/lod/taxon/525825/13.0,http://purl.obolibrary.org/obo/NCBITaxon_1890424
http://taxref.mnhn.fr/lod/taxon/525992/13.0,http://purl.obolibrary.org/obo/NCBITaxon_1890449
http://taxref.mnhn.fr/lod/taxon/525997/13.0,http://purl.obolibrary.org/obo/NCBITaxon_1890436
http://taxref.mnhn.fr/lod/taxon/526001/13.0,http://purl.obolibrary.org/obo/NCBITaxon_1890440
http://taxref.mnhn.fr/lod/taxon/526022/13.0,http://purl.obolibrary.org/obo/NCBITaxon_1301283
http://taxref.mnhn.fr/lod/taxon/528845/13.0,http://purl.obolibrary.org/obo/NCBITaxon_331989
http://taxref.mnhn.fr/lod/taxon/528848/13.0,http://purl.obolibrary.org/obo/NCBITaxon_1132759
http://taxref.mnhn.fr/lod/taxon/529072/13.0,http://purl.obolibrary.org/obo/NCBITaxon_675502
http://taxref.mnhn.fr/lod/taxon/529073/13.0,http://purl.obolibrary.org/obo/NCBITaxon_54310
http://taxref.mnhn.fr/lod/taxon/529547/13.0,http://purl.obolibrary.org/obo/NCBITaxon_54304
http://taxref.mnhn.fr/lod/taxon/529549/13.0,http://purl.obolibrary.org/obo/NCBITaxon_264688
http://taxref.mnhn.fr/lod/taxon/529551/13.0,http://purl.obolibrary.org/obo/NCBITaxon_471271
http://taxref.mnhn.fr/lod/taxon/529757/13.0,http://purl.obolibrary.org/obo/NCBITaxon_63132
http://taxref.mnhn.fr/lod/taxon/529834/13.0,http://purl.obolibrary.org/obo/NCBITaxon_1160
http://taxref.mnhn.fr/lod/taxon/529836/13.0,http://purl.obolibrary.org/obo/NCBITaxon_264691
http://taxref.mnhn.fr/lod/taxon/529929/13.0,http://purl.obolibrary.org/obo/NCBITaxon_471272
http://taxref.mnhn.fr/lod/taxon/531262/13.0,http://purl.obolibrary.org/obo/NCBITaxon_373990
http://taxref.mnhn.fr/lod/taxon/531346/13.0,http://purl.obolibrary.org/obo/NCBITaxon_996924
http://taxref.mnhn.fr/lod/taxon/531382/13.0,http://purl.obolibrary.org/obo/NCBITaxon_996925
http://taxref.mnhn.fr/lod/taxon/626023/13.0,http://purl.obolibrary.org/obo/NCBITaxon_91347
http://taxref.mnhn.fr/lod/taxon/626024/13.0,http://purl.obolibrary.org/obo/NCBITaxon_543
http://taxref.mnhn.fr/lod/taxon/626354/13.0,http://purl.obolibrary.org/obo/NCBITaxon_454131
http://taxref.mnhn.fr/lod/taxon/626356/13.0,http://purl.obolibrary.org/obo/NCBITaxon_47251
http://taxref.mnhn.fr/lod/taxon/626701/13.0,http://purl.obolibrary.org/obo/NCBITaxon_167375
http://taxref.mnhn.fr/lod/taxon/626719/13.0,http://purl.obolibrary.org/obo/NCBITaxon_77021
http://taxref.mnhn.fr/lod/taxon/626861/13.0,http://purl.obolibrary.org/obo/NCBITaxon_1205
http://taxref.mnhn.fr/lod/taxon/627053/13.0,http://purl.obolibrary.org/obo/NCBITaxon_59512
http://taxref.mnhn.fr/lod/taxon/647968/13.0,http://purl.obolibrary.org/obo/NCBITaxon_158786
http://taxref.mnhn.fr/lod/taxon/647969/13.0,http://purl.obolibrary.org/obo/NCBITaxon_105591
http://taxref.mnhn.fr/lod/taxon/650857/13.0,http://purl.obolibrary.org/obo/NCBITaxon_207923
http://taxref.mnhn.fr/lod/taxon/652751/13.0,http://purl.obolibrary.org/obo/NCBITaxon_192050
http://taxref.mnhn.fr/lod/taxon/669811/13.0,http://purl.obolibrary.org/obo/NCBITaxon_665904
http://taxref.mnhn.fr/lod/taxon/669839/13.0,http://purl.obolibrary.org/obo/NCBITaxon_748770
http://taxref.mnhn.fr/lod/taxon/670086/13.0,http://purl.obolibrary.org/obo/NCBITaxon_1521558
http://taxref.mnhn.fr/lod/taxon/670180/13.0,http://purl.obolibrary.org/obo/NCBITaxon_153188
http://taxref.mnhn.fr/lod/taxon/670188/13.0,http://purl.obolibrary.org/obo/NCBITaxon_207924
http://taxref.mnhn.fr/lod/taxon/670405/13.0,http://purl.obolibrary.org/obo/NCBITaxon_665910
http://taxref.mnhn.fr/lod/taxon/670558/13.0,http://purl.obolibrary.org/obo/NCBITaxon_136074
http://taxref.mnhn.fr/lod/taxon/670560/13.0,http://purl.obolibrary.org/obo/NCBITaxon_135104
