LLM,Alignment,Precision,Recall,F1
gpt-4o-2024-05-13,ce/ceon-bionto/component/source_no_validation,15.03,100.00,26.13
gpt-4o-2024-05-13,ce/ceon-bionto/component/source,52.27,79.31,63.01
gpt-4o-2024-05-13,ce/ceon-bionto/component/target_no_validation,7.46,100.00,13.88
gpt-4o-2024-05-13,ce/ceon-bionto/component/target,38.33,79.31,51.69
gpt-4o-2024-05-13,ce/ceon-bionto/component/no_validation,33.33,100.00,50.00
gpt-4o-2024-05-13,ce/ceon-bionto/component/llm_with_agent,63.89,79.31,70.77
gpt-4o-2024-05-13,ce/ceon-matonto/component/source_no_validation,7.84,100.00,14.55
gpt-4o-2024-05-13,ce/ceon-matonto/component/source,32.65,100.00,49.23
gpt-4o-2024-05-13,ce/ceon-matonto/component/target_no_validation,4.57,93.75,8.72
gpt-4o-2024-05-13,ce/ceon-matonto/component/target,26.32,93.75,41.10
gpt-4o-2024-05-13,ce/ceon-matonto/component/no_validation,18.75,93.75,31.25
gpt-4o-2024-05-13,ce/ceon-matonto/component/llm_with_agent,33.33,93.75,49.18
