Entity1,Entity2
http://cmt#Acceptance,http://conference#Accepted_contribution
http://cmt#AssociatedChair,http://conference#Chair
http://cmt#Author,http://conference#Contribution_co-author
http://cmt#AuthorNotReviewer,http://conference#has_a_submitted_contribution
http://cmt#Bid,http://conference#has_a_committee_chair
http://cmt#Chairman,http://conference#Chair
http://cmt#Co-author,http://conference#Contribution_co-author
http://cmt#Conference,http://conference#Active_conference_participant
http://cmt#ConferenceChair,http://conference#gives_presentations
http://cmt#ConferenceMember,http://conference#Active_conference_participant
http://cmt#Decision,http://conference#Camera_ready_contribution
http://cmt#Document,http://conference#Call_for_participation
http://cmt#ExternalReviewer,http://conference#Reviewer
http://cmt#Meta-Review,http://conference#Review
http://cmt#Meta-Reviewer,http://conference#Program_committee
http://cmt#Paper,http://conference#Conference_document
http://cmt#PaperAbstract,http://conference#Abstract
http://cmt#PaperFullVersion,http://conference#Accepted_contribution
http://cmt#Person,http://conference#Active_conference_participant
http://cmt#Preference,http://conference#has_a_track-workshop-tutorial_topic
http://cmt#ProgramCommittee,http://conference#Committee
http://cmt#ProgramCommitteeChair,http://conference#Chair
http://cmt#ProgramCommitteeMember,http://conference#Committee
http://cmt#Rejection,http://conference#Committee
http://cmt#Review,http://conference#Review
http://cmt#Reviewer,http://conference#Review
http://cmt#SubjectArea,http://conference#Call_for_paper
http://cmt#User,http://conference#Active_conference_participant
http://cmt#acceptPaper,http://conference#Accepted_contribution
http://cmt#acceptedBy,http://conference#Accepted_contribution
http://cmt#acceptsHardcopySubmissions,http://conference#Paper
http://cmt#addProgramCommitteeMember,http://conference#Committee
http://cmt#addedBy,http://conference#Call_for_participation
http://cmt#adjustedBy,http://conference#Call_for_paper
http://cmt#assignExternalReviewer,http://conference#Review
http://cmt#assignReviewer,http://conference#Reviewer
http://cmt#assignedByAdministrator,http://conference#has_been_assigned_a_review_reference
http://cmt#assignedByReviewer,http://conference#belong_to_a_conference_volume
http://cmt#assignedTo,http://conference#Program_committee
http://cmt#co-writePaper,http://conference#has_a_review_reference_or_expertise
http://cmt#date,http://conference#Active_conference_participant
http://cmt#detailsEnteredBy,http://conference#Information_for_participants
http://cmt#email,http://conference#Information_for_participants
http://cmt#enableVirtualMeeting,http://conference#Information_for_participants
http://cmt#endReview,http://conference#Review
http://cmt#enterReviewCriteria,http://conference#has_a_topic_or_a_submission_contribution
http://cmt#finalizePaperAssignment,http://conference#belong_to_a_conference_volume
http://cmt#hardcopyMailingManifestsPrintedBy,http://conference#Information_for_participants
http://cmt#hasAuthor,http://conference#Regular_author
http://cmt#hasBeenAssigned,http://conference#Information_for_participants
http://cmt#hasBid,http://conference#Call_for_participation
http://cmt#hasCo-author,http://conference#gives_presentations
http://cmt#hasConferenceMember,http://conference#Conference_part
http://cmt#hasConflictOfInterest,http://conference#Paid_applicant
http://cmt#hasDecision,http://conference#Track-workshop_chair
http://cmt#hasProgramCommitteeMember,http://conference#Committee
http://cmt#hasSubjectArea,http://conference#Accepted_contribution
http://cmt#logoURL,http://conference#has_a_URL
http://cmt#maxPapers,http://conference#Call_for_paper
http://cmt#memberOfConference,http://conference#Active_conference_participant
http://cmt#memberOfProgramCommittee,http://conference#Committee
http://cmt#name,http://conference#has_a_name
http://cmt#paperAssignmentFinalizedBy,http://conference#Call_for_paper
http://cmt#paperAssignmentToolsRunBy,http://conference#has_a_URL
http://cmt#paperID,http://conference#Call_for_paper
http://cmt#printHardcopyMailingManifests,http://conference#Information_for_participants
http://cmt#readByMeta-Reviewer,http://conference#Passive_conference_participant
http://cmt#readByReviewer,http://conference#belongs_to_a_review_reference
http://cmt#readPaper,http://conference#Camera_ready_contribution
http://cmt#rejectPaper,http://conference#Rejected_contribution
http://cmt#rejectedBy,http://conference#Program_committee
http://cmt#reviewCriteriaEnteredBy,http://conference#has_a_program_committee
http://cmt#reviewerBiddingStartedBy,http://conference#invited_by
http://cmt#reviewsPerPaper,http://conference#has_a_program_committee
http://cmt#runPaperAssignmentTools,http://conference#is_submitted_at
http://cmt#setMaxPapers,http://conference#Camera_ready_contribution
http://cmt#siteURL,http://conference#has_a_URL
http://cmt#startReviewerBidding,http://conference#Call_for_participation
http://cmt#submitPaper,http://conference#Conference_contribution
http://cmt#title,http://conference#Topic
http://cmt#virtualMeetingEnabledBy,http://conference#Active_conference_participant
http://cmt#writePaper,http://conference#belong_to_a_conference_volume
http://cmt#writeReview,http://conference#Review
http://cmt#writtenBy,http://conference#Regular_author
