Entity1,Entity2
source:Reviewer,target:Reviewer
source:Person,target:Person
source:Document,target:Conference_document
source:ProgramCommittee,target:Program_committee
source:Conference,target:Conference
source:ConferenceMember,target:Conference_participant
source:SubjectArea,target:Topic
source:Chairman,target:Chair
source:Acceptance,target:Accepted_contribution
source:Rejection,target:Rejected_contribution
source:Review,target:Review
source:Paper,target:Paper
source:Co-author,target:Contribution_co-author
source:PaperAbstract,target:Extended_abstract
source:hasConferenceMember,target:has_members
source:memberOfConference,target:was_a_member_of
source:hasProgramCommitteeMember,target:has_a_program_committee
source:assignReviewer,target:invites_co-reviewers
source:hasBeenAssigned,target:has_been_assigned_a_review_reference
source:submitPaper,target:is_submitted_at
source:hasAuthor,target:has_authors
source:writeReview,target:reviews
source:name,target:has_a_name
source:date,target:has_a_date_of_issue
source:siteURL,target:has_a_URL
