Entity1,Entity2
http://cmt#Acceptance,http://conference#Accepted_contribution
http://cmt#Author,http://conference#Person
http://cmt#Chairman,http://conference#Chair
http://cmt#Co-author,http://conference#Contribution_co-author
http://cmt#Conference,http://conference#Conference
http://cmt#ConferenceMember,http://conference#Conference_participant
http://cmt#Document,http://conference#Conference_document
http://cmt#Paper,http://conference#Paper
http://cmt#PaperAbstract,http://conference#Extended_abstract
http://cmt#Person,http://conference#Person
http://cmt#Preference,http://conference#Review_preference
http://cmt#ProgramCommittee,http://conference#Program_committee
http://cmt#ProgramCommitteeChair,http://conference#Co-chair
http://cmt#ProgramCommitteeMember,http://conference#Committee_member
http://cmt#Rejection,http://conference#Rejected_contribution
http://cmt#Review,http://conference#Review
http://cmt#Reviewer,http://conference#Review
http://cmt#Reviewer,http://conference#Reviewer
http://cmt#SubjectArea,http://conference#Topic
http://cmt#User,http://conference#Person
http://cmt#acceptsHardcopySubmissions,http://conference#has_a_submitted_contribution
http://cmt#assignReviewer,http://conference#invites_co-reviewers
http://cmt#assignedByReviewer,http://conference#has_been_assigned_a_review_reference
http://cmt#assignedTo,http://conference#has_been_assigned_a_review_reference
http://cmt#co-writePaper,http://conference#has_a_committee_co-chair
http://cmt#date,http://conference#has_a_date_of_issue
http://cmt#endReview,http://conference#has_a_review
http://cmt#hasBeenAssigned,http://conference#has_been_assigned_a_review_reference
http://cmt#hasConferenceMember,http://conference#is_part_of_conference_volumes
http://cmt#hasSubjectArea,http://conference#has_a_track-workshop-tutorial_topic
http://cmt#memberOfConference,http://conference#is_part_of_conference_volumes
http://cmt#memberOfProgramCommittee,http://conference#was_a_program_committee_of
http://cmt#name,http://conference#has_a_name
http://cmt#paperID,http://conference#has_been_assigned_a_review_reference
http://cmt#reviewerBiddingStartedBy,http://conference#invites_co-reviewers
http://cmt#siteURL,http://conference#has_a_URL
http://cmt#title,http://conference#has_a_name
http://cmt#writtenBy,http://conference#has_authors
