Entity1,Entity2
http://cmt#Administrator,http://conference#Organizer
http://cmt#AssociatedChair,http://conference#Co-chair
http://cmt#Author,http://conference#Regular_author
http://cmt#Chairman,http://conference#Chair
http://cmt#Co-author,http://conference#Contribution_co-author
http://cmt#Conference,http://conference#Conference
http://cmt#ConferenceChair,http://conference#Co-chair
http://cmt#ConferenceMember,http://conference#Conference_participant
http://cmt#Document,http://conference#Conference_document
http://cmt#Document,http://conference#Paper
http://cmt#ExternalReviewer,http://conference#Reviewer
http://cmt#Paper,http://conference#Paper
http://cmt#PaperAbstract,http://conference#Abstract
http://cmt#PaperFullVersion,http://conference#Conference
http://cmt#Person,http://conference#Person
http://cmt#Preference,http://conference#Review_preference
http://cmt#ProgramCommittee,http://conference#Program_committee
http://cmt#ProgramCommitteeChair,http://conference#Program_committee
http://cmt#ProgramCommitteeMember,http://conference#Committee_member
http://cmt#ProgramCommitteeMember,http://conference#Program_committee
http://cmt#Rejection,http://conference#Paper
http://cmt#Review,http://conference#Review
http://cmt#Reviewer,http://conference#Reviewer
http://cmt#SubjectArea,http://conference#Abstract
http://cmt#SubjectArea,http://conference#Topic
http://cmt#acceptPaper,http://conference#has_contributions
http://cmt#acceptedBy,http://conference#invited_by
http://cmt#addProgramCommitteeMember,http://conference#has_a_program_committee
http://cmt#addedBy,http://conference#invited_by
http://cmt#assignExternalReviewer,http://conference#reviews
http://cmt#assignReviewer,http://conference#reviews
http://cmt#assignedByReviewer,http://conference#belongs_to_reviewers
http://cmt#assignedByReviewer,http://conference#invited_by
http://cmt#assignedTo,http://conference#has_a_review
http://cmt#date,http://conference#has_parts
http://cmt#email,http://conference#has_an_email
http://cmt#endReview,http://conference#has_a_review
http://cmt#enterConferenceDetails,http://conference#has_parts
http://cmt#enterReviewCriteria,http://conference#reviews
http://cmt#hasAuthor,http://conference#has_authors
http://cmt#hasBeenAssigned,http://conference#belongs_to_a_review_reference
http://cmt#hasCo-author,http://conference#has_authors
http://cmt#hasConferenceMember,http://conference#has_members
http://cmt#hasConferenceMember,http://conference#has_parts
http://cmt#hasDecision,http://conference#belongs_to_a_review_reference
http://cmt#hasProgramCommitteeMember,http://conference#has_a_program_committee
http://cmt#hasSubjectArea,http://conference#has_tracks
http://cmt#logoURL,http://conference#has_a_location
http://cmt#memberOfConference,http://conference#is_part_of_conference_volumes
http://cmt#memberOfProgramCommittee,http://conference#was_a_program_committee_of
http://cmt#name,http://conference#has_a_name
http://cmt#paperAssignmentToolsRunBy,http://conference#issues
http://cmt#readByMeta-Reviewer,http://conference#invites_co-reviewers
http://cmt#readByReviewer,http://conference#belongs_to_a_review_reference
http://cmt#readByReviewer,http://conference#reviews
http://cmt#readPaper,http://conference#has_a_review
http://cmt#reviewCriteriaEnteredBy,http://conference#invited_by
http://cmt#reviewsPerPaper,http://conference#has_a_review
http://cmt#siteURL,http://conference#has_a_URL
http://cmt#siteURL,http://conference#has_a_location
http://cmt#submitPaper,http://conference#has_a_submitted_contribution
http://cmt#title,http://conference#has_a_location
http://cmt#writePaper,http://conference#has_a_review
http://cmt#writeReview,http://conference#reviews
