Entity2,Entity1
http://conference#Abstract,http://cmt#PaperAbstract
http://conference#Camera_ready_contribution,http://cmt#Acceptance
http://conference#Chair,http://cmt#ConferenceChair
http://conference#Co-chair,http://cmt#AssociatedChair
http://conference#Committee,http://cmt#ProgramCommittee
http://conference#Committee_member,http://cmt#ProgramCommitteeMember
http://conference#Conference,http://cmt#Conference
http://conference#Contribution_1th-author,http://cmt#Co-author
http://conference#Contribution_co-author,http://cmt#Co-author
http://conference#Extended_abstract,http://cmt#PaperAbstract
http://conference#Invited_speaker,http://cmt#Person
http://conference#Paper,http://cmt#Paper
http://conference#Passive_conference_participant,http://cmt#ConferenceMember
http://conference#Person,http://cmt#Person
http://conference#Program_committee,http://cmt#ProgramCommittee
http://conference#Regular_author,http://cmt#Author
http://conference#Rejected_contribution,http://cmt#Rejection
http://conference#Review,http://cmt#Review
http://conference#Review_preference,http://cmt#Preference
http://conference#Reviewer,http://cmt#Reviewer
http://conference#Topic,http://cmt#SubjectArea
http://conference#Track,http://cmt#SubjectArea
http://conference#Written_contribution,http://cmt#Paper
http://conference#belong_to_a_conference_volume,http://cmt#memberOfConference
http://conference#contributes,http://cmt#addedBy
http://conference#has_a_URL,http://cmt#siteURL
http://conference#has_a_committee_chair,http://cmt#memberOfProgramCommittee
http://conference#has_a_commtitee,http://cmt#hasProgramCommitteeMember
http://conference#has_a_name,http://cmt#name
http://conference#has_a_program_committee,http://cmt#hasProgramCommitteeMember
http://conference#has_a_topic_or_a_submission_contribution,http://cmt#hasSubjectArea
http://conference#has_a_track-workshop-tutorial_topic,http://cmt#hasSubjectArea
http://conference#has_an_organizing_committee,http://cmt#memberOfProgramCommittee
http://conference#has_been_assigned_a_review_reference,http://cmt#hasBeenAssigned
http://conference#is_a_full_paper_submission_date,http://cmt#submitPaper
http://conference#is_a_topis_of_conference_parts,http://cmt#memberOfConference
http://conference#is_an_abstract_submission_date,http://cmt#submitPaper
http://conference#is_part_of_conference_volumes,http://cmt#memberOfConference
http://conference#issues,http://cmt#hasSubjectArea
http://conference#was_a_committe_co-chair_of,http://cmt#memberOfProgramCommittee
http://conference#was_a_committee_chair_of,http://cmt#memberOfProgramCommittee
http://conference#was_a_committee_of,http://cmt#memberOfProgramCommittee
http://conference#was_a_member_of,http://cmt#memberOfProgramCommittee
http://conference#was_a_program_committee_of,http://cmt#memberOfProgramCommittee
http://conference#was_a_steering_committee_of,http://cmt#memberOfProgramCommittee
http://conference#was_an_organizing_committee_of,http://cmt#memberOfProgramCommittee
