Entity2,Entity1
target:Conference_participant,source:ConferenceMember
target:Active_conference_participant,source:ConferenceMember
target:Person,source:Person
target:Review_expertise,source:ExternalReviewer
target:Submitted_contribution,source:Paper
target:Reviewer,source:Reviewer
target:Contribution_co-author,source:Co-author
target:Co-chair,source:ConferenceChair
target:Committee,source:ProgramCommitteeMember
target:Committee_member,source:ConferenceMember
target:Abstract,source:PaperAbstract
target:Extended_abstract,source:PaperAbstract
target:Information_for_participants,source:ConferenceMember
target:Conference_document,source:Document
target:Written_contribution,source:Paper
target:Camera_ready_contribution,source:PaperFullVersion
target:Accepted_contribution,source:Acceptance
target:Program_committee,source:ProgramCommittee
target:Conference,source:Conference
target:Paper,source:Paper
target:Conference_part,source:Conference
target:Chair,source:Chairman
target:Rejected_contribution,source:Rejection
target:Reviewed_contribution,source:Reviewer
target:Review,source:Review
target:Topic,source:SubjectArea
target:has_a_submitted_contribution,source:submitPaper
target:belongs_to_reviewers,source:assignedByReviewer
target:was_a_committe_co-chair_of,source:hasProgramCommitteeMember
target:was_a_member_of,source:memberOfConference
target:has_authors,source:hasAuthor
target:was_a_track-workshop_chair_of,source:hasBeenAssigned
target:has_a_topic_or_a_submission_contribution,source:hasSubjectArea
target:was_an_organizing_committee_of,source:memberOfProgramCommittee
target:has_an_organizing_committee,source:hasProgramCommitteeMember
target:was_a_committee_of,source:hasProgramCommitteeMember
target:was_a_program_committee_of,source:memberOfProgramCommittee
target:is_part_of_conference_volumes,source:hasConferenceMember
target:invites_co-reviewers,source:assignReviewer
target:invited_by,source:addedBy
target:has_members,source:hasConferenceMember
target:is_submitted_at,source:submitPaper
target:has_contributions,source:hasCo-author
target:has_a_review_reference_or_expertise,source:assignReviewer
target:is_given_by,source:writtenBy
target:has_a_commtitee,source:hasProgramCommitteeMember
target:has_a_track-workshop-tutorial_topic,source:hasSubjectArea
target:is_a_topis_of_conference_parts,source:hasSubjectArea
target:has_a_committee_co-chair,source:memberOfProgramCommittee
target:reviews,source:writeReview
target:has_a_program_committee,source:hasProgramCommitteeMember
target:has_a_track-workshop-tutorial_chair,source:hasSubjectArea
target:belong_to_a_conference_volume,source:hasConferenceMember
target:has_been_assigned_a_review_reference,source:hasBeenAssigned
target:has_an_email,source:email
target:has_the_first_name,source:name
target:has_a_name,source:name
target:is_an_abstract_submission_date,source:submitPaper
target:is_a_full_paper_submission_date,source:submitPaper
target:has_a_date_of_issue,source:date
target:has_a_URL,source:siteURL
target:is_an_ending_date,source:endReview
target:is_a_date_of_acceptance_announcement,source:date
target:has_an_expertise,source:hasSubjectArea
target:is_a_date_of_camera_ready_paper_submission,source:submitPaper
