Entity1,Entity2
http://cmt#Author,http://confOf#Author
http://cmt#AuthorNotReviewer,http://confOf#Submission_event
http://cmt#Conference,http://confOf#Conference
http://cmt#ConferenceChair,http://confOf#Chair_PC
http://cmt#ConferenceMember,http://confOf#Participant
http://cmt#ExternalReviewer,http://confOf#Person
http://cmt#Paper,http://confOf#Paper
http://cmt#PaperAbstract,http://confOf#abstract
http://cmt#PaperFullVersion,http://confOf#Paper
http://cmt#Person,http://confOf#Member
http://cmt#ProgramCommittee,http://confOf#Member_PC
http://cmt#ProgramCommitteeChair,http://confOf#Chair_PC
http://cmt#ProgramCommitteeMember,http://confOf#Member_PC
http://cmt#SubjectArea,http://confOf#dealsWith
http://cmt#acceptPaper,http://confOf#Contribution
http://cmt#acceptsHardcopySubmissions,http://confOf#Paper
http://cmt#addProgramCommitteeMember,http://confOf#Member_PC
http://cmt#assignedTo,http://confOf#Registration_of_participants_event
http://cmt#co-writePaper,http://confOf#Contribution
http://cmt#detailsEnteredBy,http://confOf#Registration_of_participants_event
http://cmt#email,http://confOf#contactEmail
http://cmt#finalizePaperAssignment,http://confOf#Camera_Ready_event
http://cmt#hardcopyMailingManifestsPrintedBy,http://confOf#Paper
http://cmt#hasAuthor,http://confOf#writtenBy
http://cmt#hasBeenAssigned,http://confOf#Registration_of_participants_event
http://cmt#hasProgramCommitteeMember,http://confOf#Member_PC
http://cmt#hasSubjectArea,http://confOf#Registration_of_participants_event
http://cmt#memberOfConference,http://confOf#Participant
http://cmt#memberOfProgramCommittee,http://confOf#Member_PC
http://cmt#paperAssignmentFinalizedBy,http://confOf#Administrative_event
http://cmt#paperAssignmentToolsRunBy,http://confOf#Assistant
http://cmt#reviewCriteriaEnteredBy,http://confOf#follows
http://cmt#submitPaper,http://confOf#Submission_event
http://cmt#virtualMeetingEnabledBy,http://confOf#follows
