Entity1,Entity2
http://cmt#Administrator,http://confOf#Administrator
http://cmt#Author,http://confOf#Author
http://cmt#Bid,http://confOf#Topic
http://cmt#Conference,http://confOf#Conference
http://cmt#ConferenceMember,http://confOf#Administrative_event
http://cmt#Paper,http://confOf#Paper
http://cmt#PaperFullVersion,http://confOf#Member
http://cmt#Person,http://confOf#Person
http://cmt#ProgramCommitteeMember,http://confOf#Reviewing_event
http://cmt#Rejection,http://confOf#Short_paper
http://cmt#User,http://confOf#Participant
http://cmt#acceptedBy,http://confOf#writtenBy
http://cmt#addedBy,http://confOf#earlyRegistration
http://cmt#assignReviewer,http://confOf#hasHomePage
http://cmt#assignedTo,http://confOf#hasHomePage
http://cmt#email,http://confOf#writtenBy
http://cmt#enterConferenceDetails,http://confOf#writtenBy
http://cmt#hasAuthor,http://confOf#writtenBy
http://cmt#hasBeenAssigned,http://confOf#hasHomePage
http://cmt#hasCo-author,http://confOf#hasHomePage
http://cmt#hasConferenceMember,http://confOf#remark
http://cmt#hasProgramCommitteeMember,http://confOf#parallel_with
http://cmt#hasSubjectArea,http://confOf#hasHomePage
http://cmt#maxPapers,http://confOf#hasHomePage
http://cmt#paperAssignmentToolsRunBy,http://confOf#hasHomePage
http://cmt#paperID,http://confOf#writtenBy
http://cmt#runPaperAssignmentTools,http://confOf#writtenBy
http://cmt#setMaxPapers,http://confOf#parallel_with
http://cmt#title,http://confOf#starts_on
http://cmt#virtualMeetingEnabledBy,http://confOf#hasHomePage
http://cmt#writtenBy,http://confOf#writtenBy
