Entity2,Entity1
target:Event,source:Conference
target:Person,source:Person
target:Topic,source:SubjectArea
target:Administrator,source:Administrator
target:Paper,source:Paper
target:Short_paper,source:PaperAbstract
target:Reviewing_results_event,source:Review
target:Registration_of_participants_event,source:ConferenceMember
target:Conference,source:Conference
target:Member,source:ConferenceMember
target:Participant,source:Person
target:Member_PC,source:ProgramCommitteeMember
target:Chair_PC,source:Chairman
target:Author,source:Author
target:reviewes,source:writeReview
target:expertOn,source:hasSubjectArea
target:writes,source:writtenBy
target:writtenBy,source:writtenBy
target:contactEmail,source:email
target:hasEmail,source:email
target:hasHomePage,source:siteURL
target:has_title,source:title
target:hasTitle,source:title
target:starts_on,source:date
target:ends_on,source:date
