Entity1,Entity2
http://cmt#Acceptance,http://edas#AcceptRating
http://cmt#Author,http://edas#Author
http://cmt#Chairman,http://edas#ConferenceChair
http://cmt#Co-author,http://edas#Author
http://cmt#Conference,http://edas#Conference
http://cmt#ConferenceChair,http://edas#ConferenceChair
http://cmt#Document,http://edas#Document
http://cmt#Paper,http://edas#Paper
http://cmt#Person,http://edas#Person
http://cmt#ProgramCommitteeMember,http://edas#TPCMember
http://cmt#Rejection,http://edas#RejectedPaper
http://cmt#Review,http://edas#Review
http://cmt#Reviewer,http://edas#Reviewer
http://cmt#SubjectArea,http://edas#Topic
http://cmt#User,http://edas#Person
http://cmt#date,http://edas#startDate
http://cmt#endReview,http://edas#isReviewing
http://cmt#hasAuthor,http://edas#isWrittenBy
http://cmt#hasCo-author,http://edas#isWrittenBy
http://cmt#hasSubjectArea,http://edas#hasTopic
http://cmt#writtenBy,http://edas#isWrittenBy
