Entity2,Entity1
target:Review,source:Review
target:Paper,source:Paper
target:Document,source:Document
target:Topic,source:SubjectArea
target:Conference,source:Conference
target:Person,source:Person
target:RejectRating,source:Rejection
target:CommunicationsTopic,source:SubjectArea
target:CryptographyTopic,source:SubjectArea
target:ConferenceChair,source:ConferenceChair
target:Author,source:Author
target:PendingPaper,source:Document
target:RejectedPaper,source:Rejection
target:AcceptedPaper,source:Acceptance
target:PublishedPaper,source:Paper
target:Attendee,source:ConferenceMember
target:Reviewer,source:Reviewer
target:TalkEvent,source:Conference
target:SessionChair,source:Chairman
target:TPCMember,source:ProgramCommitteeMember
target:PaperPresentation,source:Paper
target:hasMember,source:hasConferenceMember
target:hasTopic,source:hasSubjectArea
target:isWrittenBy,source:writtenBy
target:isTopicOf,source:hasSubjectArea
target:belongsToEvent,source:memberOfConference
target:attendeeAt,source:memberOfConference
target:hasAttendee,source:hasConferenceMember
target:hasName,source:name
target:registrationDueOn,source:date
target:manuscriptDueOn,source:date
target:paperDueOn,source:date
target:hasEmail,source:email
