Entity2,Entity1
http://ekaw#Abstract,http://cmt#PaperAbstract
http://ekaw#Accepted_Paper,http://cmt#Acceptance
http://ekaw#Conference,http://cmt#Conference
http://ekaw#Conference_Paper,http://cmt#Paper
http://ekaw#Conference_Participant,http://cmt#Person
http://ekaw#Conference_Proceedings,http://cmt#Paper
http://ekaw#Document,http://cmt#Document
http://ekaw#PC_Chair,http://cmt#ProgramCommitteeChair
http://ekaw#PC_Member,http://cmt#ProgramCommitteeMember
http://ekaw#Paper,http://cmt#Paper
http://ekaw#Paper_Author,http://cmt#Author
http://ekaw#Person,http://cmt#Person
http://ekaw#Possible_Reviewer,http://cmt#ExternalReviewer
http://ekaw#Rejected_Paper,http://cmt#Rejection
http://ekaw#Review,http://cmt#Review
http://ekaw#Scientific_Event,http://cmt#Conference
http://ekaw#Session_Chair,http://cmt#Chairman
http://ekaw#Student,http://cmt#Person
http://ekaw#authorOf,http://cmt#writtenBy
http://ekaw#reviewOfPaper,http://cmt#readByReviewer
http://ekaw#writtenBy,http://cmt#writtenBy
