Entity1,Entity2
source:Reviewer,target:Reviewer
source:Person,target:Person
source:Document,target:Document
source:ConferenceMember,target:Delegate
source:Rejection,target:Refusing_manuscript
source:Review,target:Review
source:Paper,target:Submission
source:Author,target:Author
source:PaperFullVersion,target:Final_manuscript
source:assignedTo,target:is_given_to
source:submitPaper,target:send
source:hasAuthor,target:is_writen_by
source:writtenBy,target:is_writen_by
source:date,target:is_dated_on
