Entity1,Entity2
source:Reviewer,target:Reviewer
source:Person,target:Person
source:Document,target:Document
source:ProgramCommittee,target:Technical_commitee
source:AssociatedChair,target:Session_chair
source:ProgramCommitteeMember,target:Technical_commitee
source:ExternalReviewer,target:Reviewer
source:Chairman,target:Speaker
source:Acceptance,target:Accepting_manuscript
source:Rejection,target:Refusing_manuscript
source:Review,target:Review
source:Paper,target:Publication
source:Author,target:Author
source:PaperFullVersion,target:Final_manuscript
source:assignedByReviewer,target:is_given_by
source:readByReviewer,target:go_through
source:assignedByAdministrator,target:is_given_by
source:co-writePaper,target:write
source:hasBeenAssigned,target:is_given_to
source:assignedTo,target:is_given_to
source:submitPaper,target:send
source:acceptPaper,target:give
source:hasAuthor,target:is_writen_by
source:writtenBy,target:is_writen_by
source:writePaper,target:write
source:date,target:is_dated_on
source:email,target:send
