Entity1,Entity2
source:Person,target:Person
source:Document,target:Document
source:ProgramCommittee,target:Program_Committee
source:Conference,target:Conference
source:ConferenceChair,target:General_Chair
source:ProgramCommitteeMember,target:Program_Committee_member
source:Chairman,target:General_Chair
source:ProgramCommitteeChair,target:Program_Chair
source:Review,target:Review
source:Paper,target:Paper
source:Author,target:Author
source:Co-author,target:Author_of_paper
source:PaperAbstract,target:Abstract
source:PaperFullVersion,target:Paper
source:submitPaper,target:submit
source:name,target:Name_of_conference
source:date,target:Date
source:email,target:E-mail
source:title,target:Name_of_conference
