Entity2,Entity1
target:Abstract,source:PaperAbstract
target:Document,source:Document
target:Author,source:Author
target:Conference,source:Conference
target:Person,source:Person
target:Committee,source:ProgramCommittee
target:Program_Chair,source:ProgramCommitteeChair
target:Review,source:Review
target:Program_Committee,source:ProgramCommittee
target:General_Chair,source:ConferenceChair
target:Program_Committee_member,source:ProgramCommitteeMember
target:Paper,source:Paper
target:Organizing_Committee_member,source:ConferenceMember
target:Author_of_paper,source:Author
target:submit_until,source:submitPaper
target:submit,source:submitPaper
target:Name_of_conference,source:name
target:Name,source:name
target:E-mail,source:email
target:Date,source:date
