Entity1,Entity2
source:Conference_participant,target:Participant
source:Person,target:Person
source:Submitted_contribution,target:Contribution
source:Conference_contributor,target:Author
source:Contribution_1th-author,target:Author
source:Conference_contribution,target:Contribution
source:Organization,target:Organization
source:Poster,target:Poster
source:Camera_ready_contribution,target:Paper
source:Conference,target:Conference
source:Paper,target:Paper
source:Track,target:Topic
source:Workshop,target:Workshop
source:Tutorial,target:Tutorial
source:Topic,target:Topic
source:has_a_track-workshop-tutorial_topic,target:hasTopic
source:has_an_abstract,target:abstract
source:has_a_location,target:location
source:has_an_email,target:hasEmail
source:has_the_first_name,target:hasFirstName
source:has_the_last_name,target:hasSurname
source:is_an_ending_date,target:ends_on
source:is_a_starting_date,target:starts_on
