Entity1,Entity2
source:Conference_participant,target:Participant
source:Active_conference_participant,target:Participant
source:Person,target:Person
source:Submitted_contribution,target:Contribution
source:Regular_author,target:Author
source:Conference_contribution,target:Contribution
source:Extended_abstract,target:Short_paper
source:Conference_proceedings,target:Conference
source:Conference_document,target:Paper
source:Organization,target:Organization
source:Poster,target:Poster
source:Camera_ready_contribution,target:Paper
source:Program_committee,target:Member_PC
source:Conference,target:Conference
source:Call_for_paper,target:Submission_event
source:Paper,target:Paper
source:Track,target:Topic
source:Workshop,target:Workshop
source:Tutorial,target:Tutorial
source:Topic,target:Topic
source:Registeered_applicant,target:Participant
source:has_authors,target:writtenBy
source:has_a_topic_or_a_submission_contribution,target:dealsWith
source:is_a_topis_of_conference_parts,target:hasTopic
source:has_an_abstract,target:abstract
source:has_a_location,target:location
source:has_an_email,target:hasEmail
source:has_the_first_name,target:hasFirstName
source:has_the_last_name,target:hasSurname
source:is_an_ending_date,target:ends_on
source:has_an_expertise,target:expertOn
source:is_a_starting_date,target:starts_on
