Entity2,Entity1
target:Event,source:Conference
target:Contribution,source:Submitted_contribution
target:Organization,source:Organization
target:Person,source:Person
target:Topic,source:Topic
target:Company,source:Organization
target:Scholar,source:Conference_participant
target:Poster,source:Poster
target:Paper,source:Paper
target:Short_paper,source:Written_contribution
target:Reviewing_results_event,source:Review
target:Registration_of_participants_event,source:Conference_applicant
target:Submission_event,source:Submitted_contribution
target:Camera_Ready_event,source:Camera_ready_contribution
target:Workshop,source:Workshop
target:Conference,source:Conference
target:Tutorial,source:Tutorial
target:Member,source:Conference_participant
target:Participant,source:Conference_participant
target:Member_PC,source:Committee_member
target:Regular,source:Regular_contribution
target:Author,source:Regular_author
target:reviewes,source:reviews
target:expertOn,source:has_an_expertise
target:hasTopic,source:has_a_track-workshop-tutorial_topic
target:writes,source:contributes
target:writtenBy,source:has_authors
target:contactEmail,source:has_an_email
target:abstract,source:has_an_abstract
target:hasFirstName,source:has_the_first_name
target:hasEmail,source:has_an_email
target:hasSurname,source:has_the_last_name
target:hasHomePage,source:has_a_URL
target:has_short_title,source:has_a_name
target:hasTitle,source:has_a_name
target:starts_on,source:is_a_starting_date
target:ends_on,source:is_an_ending_date
