Entity1,Entity2
source:Conference_participant,target:Attendee
source:Passive_conference_participant,target:Attendee
source:Person,target:Person
source:Submitted_contribution,target:Paper
source:Reviewer,target:Reviewer
source:Regular_author,target:Author
source:Conference_contributor,target:Author
source:Conference_contribution,target:PaperPresentation
source:Co-chair,target:ConferenceChair
source:Invited_speaker,target:Presenter
source:Conference_proceedings,target:Conference
source:Conference_document,target:Document
source:Organization,target:Organization
source:Camera_ready_contribution,target:AcceptedPaper
source:Conference,target:Conference
source:Call_for_paper,target:CallForPapers
source:Conference_announcement,target:ConferenceEvent
source:Paper,target:Paper
source:Invited_talk,target:TalkEvent
source:Presentation,target:PaperPresentation
source:Chair,target:ConferenceChair
source:Track,target:Topic
source:Workshop,target:Workshop
source:Rejected_contribution,target:RejectedPaper
source:Review,target:Review
source:Topic,target:Topic
source:Call_for_participation,target:Call
source:Conference_www,target:ConferenceEvent
source:belongs_to_reviewers,target:isReviewedBy
source:was_a_member_of,target:isMemberOf
source:has_authors,target:isWrittenBy
source:is_part_of_conference_volumes,target:belongsToEvent
source:has_members,target:hasMember
source:has_a_review_reference_or_expertise,target:isReviewedBy
source:belongs_to_a_review_reference,target:isReviewHistoryOf
source:is_given_by,target:providedBy
source:has_a_review,target:isReviewedBy
source:is_a_topis_of_conference_parts,target:isTopicOf
source:belong_to_a_conference_volume,target:belongsToEvent
source:has_been_assigned_a_review_reference,target:isReviewedBy
source:has_a_location,target:hasLocation
source:has_an_email,target:hasEmail
source:has_the_first_name,target:hasFirstName
source:has_a_name,target:hasName
source:is_a_full_paper_submission_date,target:hasSubmissionDeadline
source:has_the_last_name,target:hasLastName
source:is_an_ending_date,target:endDate
source:is_a_date_of_camera_ready_paper_submission,target:paperDueOn
source:is_a_starting_date,target:startDate
