Entity1,Entity2
http://conference#Abstract,http://ekaw#Abstract
http://conference#Chair,http://ekaw#Session_Chair
http://conference#Conference,http://ekaw#Conference
http://conference#Conference_contribution,http://ekaw#Contributed_Talk
http://conference#Conference_participant,http://ekaw#Conference_Participant
http://conference#Conference_proceedings,http://ekaw#Conference_Proceedings
http://conference#Invited_speaker,http://ekaw#Invited_Speaker
http://conference#Invited_talk,http://ekaw#Invited_Talk
http://conference#Organization,http://ekaw#Organisation
http://conference#Paper,http://ekaw#Paper
http://conference#Person,http://ekaw#Person
http://conference#Poster,http://ekaw#Poster_Session
http://conference#Presentation,http://ekaw#Individual_Presentation
http://conference#Program_committee,http://ekaw#PC_Member
http://conference#Publisher,http://ekaw#Proceedings_Publisher
http://conference#Review,http://ekaw#Review
http://conference#Reviewer,http://ekaw#Possible_Reviewer
http://conference#Steering_committee,http://ekaw#SC_Member
http://conference#Topic,http://ekaw#Research_Topic
http://conference#Track,http://ekaw#Track
http://conference#Tutorial,http://ekaw#Tutorial
http://conference#Workshop,http://ekaw#Workshop
http://conference#belong_to_a_conference_volume,http://ekaw#volumeContainsPaper
http://conference#gives_presentations,http://ekaw#presentationOfPaper
http://conference#has_a_location,http://ekaw#locationOf
http://conference#has_an_organizing_committee,http://ekaw#organises
http://conference#invites_co-reviewers,http://ekaw#hasReviewer
http://conference#is_part_of_conference_volumes,http://ekaw#partOfEvent
http://conference#reviews,http://ekaw#reviewOfPaper
