Entity2,Entity1
target:Event,source:Conference
target:Person,source:Person
target:Accepted_Paper,source:Accepted_contribution
target:Rejected_Paper,source:Rejected_contribution
target:Evaluated_Paper,source:Reviewed_contribution
target:Camera_Ready_Paper,source:Camera_ready_contribution
target:Workshop_Paper,source:Conference_contribution
target:Paper,source:Paper
target:Conference_Paper,source:Paper
target:Poster_Session,source:Poster
target:Abstract,source:Abstract
target:Document,source:Conference_document
target:Paper_Author,source:Contribution_co-author
target:Tutorial_Abstract,source:Abstract
target:Conference_Participant,source:Person
target:Submitted_Paper,source:Submitted_contribution
target:Assigned_Paper,source:Conference_document
target:Review,source:Review
target:Research_Topic,source:Topic
target:Organising_Agency,source:Organizing_committee
target:Academic_Institution,source:Organization
target:Organisation,source:Organization
target:Proceedings_Publisher,source:Conference_proceedings
target:Poster_Paper,source:Poster
target:Regular_Paper,source:Regular_contribution
target:Research_Institute,source:Organization
target:Scientific_Event,source:Conference
target:Invited_Talk_Abstract,source:Invited_talk
target:Track,source:Track
target:Invited_Talk,source:Invited_talk
target:Workshop,source:Workshop
target:Tutorial,source:Tutorial
target:Contributed_Talk,source:Conference_contribution
target:Conference,source:Conference
target:PC_Chair,source:Program_committee
target:PC_Member,source:Committee_member
target:OC_Member,source:Committee_member
target:Proceedings,source:Conference_proceedings
target:Programme_Brochure,source:Conference_document
target:Multi-author_Volume,source:Contribution_co-author
target:Individual_Presentation,source:Presentation
target:OC_Chair,source:Co-chair
target:Workshop_Chair,source:Track-workshop_chair
target:Conference_Proceedings,source:Conference_proceedings
target:Early-Registered_Participant,source:Conference_participant
target:Possible_Reviewer,source:Reviewer
target:Invited_Speaker,source:Invited_speaker
target:Presenter,source:Invited_speaker
target:SC_Member,source:Committee_member
target:hasReview,source:has_a_review
target:writtenBy,source:has_authors
target:hasReviewer,source:belongs_to_reviewers
target:volumeContainsPaper,source:is_part_of_conference_volumes
target:partOfEvent,source:is_the_1th_part_of
target:presentationOfPaper,source:gives_presentations
target:eventOnList,source:is_part_of_conference_volumes
target:hasPart,source:has_parts
target:partOf,source:has_parts
target:reviewOfPaper,source:reviews
target:organisedBy,source:was_an_organizing_committee_of
target:organises,source:has_an_organizing_committee
target:paperPresentedAs,source:gives_presentations
target:reviewerOfPaper,source:belongs_to_reviewers
target:locationOf,source:has_a_location
target:heldIn,source:has_a_location
target:publisherOf,source:has_a_publisher
target:scientificallyOrganises,source:has_an_organizing_committee
target:scientificallyOrganisedBy,source:was_an_organizing_committee_of
target:authorOf,source:has_authors
target:technicallyOrganisedBy,source:was_an_organizing_committee_of
target:technicallyOrganises,source:has_an_organizing_committee
target:paperInVolume,source:has_a_volume
target:coversTopic,source:issues
target:topicCoveredBy,source:has_a_topic_or_a_submission_contribution
target:reviewWrittenBy,source:belongs_to_reviewers
