Entity1,Entity2
source:Person,target:Person
source:Submitted_contribution,target:Submission
source:Reviewer,target:Reviewer
source:Regular_author,target:Author
source:Conference_proceedings,target:Book_proceeding
source:Program_committee,target:Technical_commitee
source:Paper,target:Publication
source:Invited_talk,target:Speaker_lecture
source:Presentation,target:Presentation
source:Chair,target:Session_chair
source:Tutorial,target:Tutorial
source:Rejected_contribution,target:Refusing_manuscript
source:Review,target:Review
source:Conference_fees,target:Fee
source:has_authors,target:is_writen_by
source:gives_presentations,target:give
source:is_given_by,target:is_given_by
source:has_a_location,target:is_situated_in
source:has_a_date_of_issue,target:is_dated_on
