Entity1,Entity2
http://conference#Camera_ready_contribution,http://iasted#Camera_ready_manuscript_deadline
http://conference#Chair,http://iasted#Session_chair
http://conference#Conference,http://iasted#Conference_activity
http://conference#Conference,http://iasted#Conference_city
http://conference#Conference,http://iasted#Conference_state
http://conference#Conference_fees,http://iasted#Fee
http://conference#Conference_volume,http://iasted#Book_proceeding
http://conference#Important_dates,http://iasted#Deadline
http://conference#Invited_speaker,http://iasted#Speaker
http://conference#Invited_talk,http://iasted#Speaker
http://conference#Paper,http://iasted#Publication
http://conference#Passive_conference_participant,http://iasted#Non_speaker
http://conference#Person,http://iasted#Person
http://conference#Presentation,http://iasted#Presentation
http://conference#Publisher,http://iasted#Publication
http://conference#Rejected_contribution,http://iasted#Refusing_manuscript
http://conference#Review,http://iasted#Review
http://conference#Reviewer,http://iasted#Reviewer
http://conference#Submitted_contribution,http://iasted#Submission
http://conference#Tutorial,http://iasted#Tutorial
http://conference#is_given_by,http://iasted#is_given_by
