Entity2,Entity1
target:Delegate,source:Conference_participant
target:Deadline_hotel_reservation,source:Important_dates
target:Person,source:Person
target:PowerPoint_presentation,source:Presentation
target:Presentation,source:Presentation
target:Technical_commitee,source:Program_committee
target:Author,source:Regular_author
target:Session_chair,source:Chair
target:Registration,source:Conference_applicant
target:Registration_fee,source:Conference_fees
target:Book_proceeding,source:Conference_proceedings
target:Refusing_manuscript,source:Rejected_contribution
target:Final_manuscript,source:Paper
target:Submission,source:Submitted_contribution
target:Plenary_lecture,source:Invited_talk
target:Lecture,source:Presentation
target:Plenary_lecture_speaker,source:Invited_talk
target:Tutorial,source:Tutorial
target:Fee,source:Conference_fees
target:Publication,source:Paper
target:Reviewer,source:Reviewer
target:Review,source:Review
target:Nonauthor_registration_fee,source:Conference_fees
target:Author_attendee_cd_registration_fee,source:Conference_fees
target:Initial_manuscipt,source:Paper
target:Speaker_lecture,source:Invited_talk
target:is_situated_in,source:has_a_location
target:is_given_by,source:is_given_by
target:is_held_in,source:has_a_location
target:give,source:gives_presentations
target:is_writen_by,source:has_authors
target:speak_in,source:gives_presentations
target:is_dated_on,source:has_a_date_of_issue
