Entity1,Entity2
http://conference#Abstract,http://sigkdd#Abstract
http://conference#Chair,http://sigkdd#General_Chair
http://conference#Committee,http://sigkdd#Committee
http://conference#Committee_member,http://sigkdd#Organizing_Committee_member
http://conference#Conference,http://sigkdd#Conference
http://conference#Conference_fees,http://sigkdd#Fee
http://conference#Invited_speaker,http://sigkdd#Invited_Speaker
http://conference#Organizing_committee,http://sigkdd#Organizing_Committee
http://conference#Paper,http://sigkdd#Paper
http://conference#Person,http://sigkdd#Person
http://conference#Program_committee,http://sigkdd#Program_Committee
http://conference#Review,http://sigkdd#Review
http://conference#gives_presentations,http://sigkdd#presentation
