Entity2,Entity1
http://sigkdd#Abstract,http://conference#Abstract
http://sigkdd#Author,http://conference#Contribution_1th-author
http://sigkdd#Committee,http://conference#Committee
http://sigkdd#Conference,http://conference#Conference
http://sigkdd#Deadline,http://conference#Important_dates
http://sigkdd#Document,http://conference#Conference_document
http://sigkdd#Fee,http://conference#Conference_fees
http://sigkdd#General_Chair,http://conference#Chair
http://sigkdd#Invited_Speaker,http://conference#Invited_speaker
http://sigkdd#Listener,http://conference#Conference_participant
http://sigkdd#Organizator,http://conference#Organizer
http://sigkdd#Organizing_Committee,http://conference#Organizing_committee
http://sigkdd#Organizing_Committee_member,http://conference#Committee_member
http://sigkdd#Paper,http://conference#Paper
http://sigkdd#Person,http://conference#Person
http://sigkdd#Program_Committee,http://conference#Program_committee
http://sigkdd#Program_Committee_member,http://conference#Program_committee
http://sigkdd#Review,http://conference#Review
http://sigkdd#Speaker,http://conference#Invited_speaker
http://sigkdd#E-mail,http://conference#has_an_email
http://sigkdd#Name_of_conference,http://conference#has_a_URL
http://sigkdd#presentation,http://conference#gives_presentations
http://sigkdd#presentationed_by,http://conference#is_given_by
