Entity1,Entity2
source:Reception,target:Reception
source:Social_event,target:SocialEvent
source:Organization,target:Organization
source:Person,target:Person
source:Topic,target:Topic
source:Country,target:Country
source:Paper,target:Paper
source:Workshop,target:Workshop
source:Conference,target:Conference
source:Participant,target:Attendee
source:Author,target:Author
source:hasCity,target:hasCity
source:hasTopic,target:hasTopic
source:writtenBy,target:isWrittenBy
source:hasCountry,target:hasCountry
source:hasFirstName,target:hasFirstName
source:hasEmail,target:hasEmail
source:hasStreet,target:hasStreet
source:hasPostalCode,target:hasPostalCode
source:hasPhone,target:hasPhone
