Entity2,Entity1
target:Review,source:Reviewing_event
target:Paper,source:Paper
target:Topic,source:Topic
target:ConferenceEvent,source:Event
target:Organization,source:Organization
target:Conference,source:Conference
target:Person,source:Person
target:Country,source:Country
target:ConferenceSession,source:Working_event
target:MealEvent,source:Banquet
target:SatelliteAndSpaceCommunicationsTopic,source:Topic
target:CommunicationsTopic,source:Topic
target:RadioCommunicationsTopic,source:Topic
target:ComputerArchitectureTopic,source:Topic
target:Author,source:Author
target:Presenter,source:Person
target:ComputerNetworksSwitchingTopic,source:Topic
target:PendingPaper,source:Submission_event
target:Attendee,source:Participant
target:CoffeeBreak,source:Social_event
target:TalkEvent,source:Event
target:SessionChair,source:Chair_PC
target:TPCMember,source:Member_PC
target:CallForPapers,source:Submission_event
target:TextualReviewQuestion,source:Reviewing_event
target:OrganizationalMeeting,source:Conference
target:PaperPresentation,source:Paper
target:Workshop,source:Workshop
target:AcademicEvent,source:Conference
target:SocialEvent,source:Social_event
target:CallForReviews,source:Reviewing_event
target:Reception,source:Reception
target:ConferenceDinner,source:Banquet
target:hasTopic,source:hasTopic
target:isWrittenBy,source:writtenBy
target:isTopicOf,source:hasTopic
target:relatesTo,source:hasTopic
target:hasReviewHistory,source:reviewes
target:forEvent,source:hasTopic
target:relatedToPaper,source:hasTopic
target:isLocationOf,source:location
target:hasLocation,source:location
target:initiates,source:starts_on
target:hasCountry,source:hasCountry
target:endDate,source:ends_on
target:startDate,source:starts_on
target:hasName,source:has_title
target:registrationDueOn,source:ends_on
target:manuscriptDueOn,source:ends_on
target:hasFirstName,source:hasFirstName
target:hasCity,source:hasCity
target:hasEmail,source:hasEmail
target:hasStreet,source:hasStreet
target:hasEndDateTime,source:ends_on
target:hasStartDateTime,source:starts_on
target:hasLastName,source:hasSurname
target:hasPostalCode,source:hasPostalCode
target:hasPhone,source:hasPhone
