Entity1,Entity2
source:Trip,target:Excursion
source:Social_event,target:SocialEvent
source:reviewes,target:isReviewing
source:Organization,target:Organization
source:writtenBy,target:isWrittenBy
source:Working_event,target:AcademicEvent
source:Reception,target:Reception
source:hasSurname,target:hasLastName
source:Workshop,target:Workshop
source:Author,target:Author
source:hasFirstName,target:hasFirstName
source:Event,target:ConferenceEvent
source:Topic,target:Topic
source:Country,target:Country
source:Participant,target:Attendee
source:Person,target:Person
source:Member_PC,target:TPCMember
source:Paper,target:Paper
source:writes,target:hasRelatedPaper
