Entity1,Entity2
source:Trip,target:Conference_Trip
source:Social_event,target:Social_Event
source:Event,target:Event
source:Contribution,target:Contributed_Talk
source:Organization,target:Organisation
source:Person,target:Person
source:Topic,target:Research_Topic
source:University,target:University
source:Poster,target:Poster_Paper
source:Paper,target:Paper
source:Submission_event,target:Submitted_Paper
source:Workshop,target:Workshop
source:Conference,target:Conference
source:Tutorial,target:Tutorial
source:Participant,target:Conference_Participant
source:Member_PC,target:PC_Member
source:Chair_PC,target:PC_Chair
source:Student,target:Student
source:reviewes,target:reviewerOfPaper
source:hasTopic,target:topicCoveredBy
source:writtenBy,target:writtenBy
source:location,target:locationOf
source:starts_on,target:eventOnList
