Entity1,Entity2
source:Trip,target:Conference_Trip
source:Social_event,target:Social_Event
source:Event,target:Event
source:Contribution,target:Submitted_Paper
source:Organization,target:Organisation
source:Person,target:Person
source:Topic,target:Research_Topic
source:Company,target:Organisation
source:University,target:University
source:Scholar,target:Paper_Author
source:Poster,target:Poster_Paper
source:Paper,target:Paper
source:Reviewing_results_event,target:Review
source:Reviewing_event,target:Review
source:Camera_Ready_event,target:Camera_Ready_Paper
source:Workshop,target:Workshop
source:Conference,target:Conference
source:Tutorial,target:Tutorial
source:Participant,target:Conference_Participant
source:Member_PC,target:PC_Member
source:Chair_PC,target:Session_Chair
source:Student,target:Student
source:Regular,target:Regular_Session
source:dealsWith,target:coversTopic
source:hasCity,target:heldIn
source:hasTopic,target:coversTopic
source:writtenBy,target:writtenBy
source:hasCountry,target:heldIn
source:location,target:locationOf
