Entity2,Entity1
http://ekaw#Conference,http://confOf#Conference
http://ekaw#Conference_Paper,http://confOf#Paper
http://ekaw#Event,http://confOf#Event
http://ekaw#Organisation,http://confOf#Organization
http://ekaw#Organising_Agency,http://confOf#Organization
http://ekaw#PC_Chair,http://confOf#Chair_PC
http://ekaw#PC_Member,http://confOf#Member_PC
http://ekaw#Paper,http://confOf#Paper
http://ekaw#Paper_Author,http://confOf#Author
http://ekaw#Person,http://confOf#Person
http://ekaw#Poster_Session,http://confOf#Poster
http://ekaw#Proceedings,http://confOf#Paper
http://ekaw#Review,http://confOf#Reviewing_event
http://ekaw#Scientific_Event,http://confOf#Event
http://ekaw#Social_Event,http://confOf#Social_event
http://ekaw#Student,http://confOf#Student
http://ekaw#Submitted_Paper,http://confOf#Paper
http://ekaw#Tutorial,http://confOf#Tutorial
http://ekaw#University,http://confOf#University
http://ekaw#Workshop,http://confOf#Workshop
http://ekaw#coversTopic,http://confOf#hasTopic
http://ekaw#locationOf,http://confOf#location
http://ekaw#reviewWrittenBy,http://confOf#writtenBy
http://ekaw#writtenBy,http://confOf#writtenBy
