Entity2,Entity1
target:Delegate,source:Participant
target:Document,source:Paper
target:Dinner_banquet,source:Banquet
target:Activity,source:Event
target:Person,source:Person
target:Conference_city,source:City
target:Deadline,source:Submission_event
target:Conference_activity,source:Event
target:Author,source:Author
target:Registration,source:Registration_of_participants_event
target:City,source:City
target:Final_manuscript,source:Paper
target:Submission,source:Submission_event
target:Tutorial,source:Tutorial
target:Publication,source:Paper
target:Nonauthor_registration_fee,source:Registration_of_participants_event
target:One_conference_day,source:Event
target:IASTED_member,source:Member
target:Student_registration_fee,source:Registration_of_participants_event
target:Author_attendee_cd_registration_fee,source:Registration_of_participants_event
target:Initial_manuscipt,source:Paper
target:Coctail_reception,source:Social_event
target:is_situated_in,source:location
target:is_present_in,source:location
target:is_prepared_by,source:writtenBy
target:is_held_in,source:location
target:is_sent_after,source:follows
target:is_writen_by,source:writtenBy
target:is_held_after,source:follows
