Entity1,Entity2
source:Event,target:Conference
source:Person,target:Person
source:Paper,target:Paper
source:Short_paper,target:Abstract
source:Reviewing_results_event,target:Review
source:Submission_event,target:Deadline_Paper_Submission
source:Conference,target:Conference
source:Member,target:Organizing_Committee_member
source:Participant,target:Person
source:Member_PC,target:Program_Committee_member
source:Chair_PC,target:Program_Chair
source:Student,target:Registration_Student
source:Author,target:Author
source:hasCountry,target:Nation
source:contactEmail,target:E-mail
source:hasKeyword,target:search
source:hasEmail,target:E-mail
source:has_title,target:Name_of_conference
source:hasTitle,target:Name_of_conference
source:starts_on,target:Start_of_conference
source:ends_on,target:End_of_conference
