Entity2,Entity1
http://sigkdd#Abstract,http://confOf#Paper
http://sigkdd#Author,http://confOf#Author
http://sigkdd#Author_of_paper,http://confOf#Author
http://sigkdd#Conference,http://confOf#Conference
http://sigkdd#Organizator,http://confOf#Organization
http://sigkdd#Organizing_Committee,http://confOf#Organization
http://sigkdd#Paper,http://confOf#Paper
http://sigkdd#Person,http://confOf#Person
http://sigkdd#Program_Chair,http://confOf#Chair_PC
http://sigkdd#Program_Committee_member,http://confOf#Member_PC
http://sigkdd#Review,http://confOf#Reviewing_event
http://sigkdd#E-mail,http://confOf#contactEmail
