Entity1,Entity2
source:AcademicConference,target:Conference
source:Agent,target:Organising_Agency
source:Article,target:Paper
source:AthleticsPlayer,target:Conference_Participant
source:BelgiumSettlement,target:Location
source:City,target:Location
source:College,target:Academic_Institution
source:Company,target:Organisation
source:Convention,target:Conference
source:Document,target:Document
source:DocumentType,target:Conference_Paper
source:EducationalInstitution,target:Academic_Institution
source:Event,target:Event
source:InternationalFootballLeagueEvent,target:Event
source:Location,target:Location
source:Meeting,target:Conference
source:MixedMartialArtsEvent,target:Event
source:NaturalPlace,target:Location
source:Organisation,target:Organisation
source:OrganisationMember,target:Conference_Participant
source:Person,target:Person
source:Place,target:Location
source:Population,target:Person
source:Presenter,target:Presenter
source:Publisher,target:Proceedings_Publisher
source:ResearchProject,target:Research_Topic
source:School,target:Academic_Institution
source:Single,target:Person
source:SocietalEvent,target:Social_Event
source:SwitzerlandSettlement,target:Location
source:TeamMember,target:Conference_Participant
source:TelevisionHost,target:Presenter
source:TopicalConcept,target:Research_Topic
source:Town,target:Location
source:University,target:University
source:Venue,target:Location
source:VoiceActor,target:Conference_Participant
source:Website,target:Web_Site
source:Writer,target:Paper_Author
source:WrittenWork,target:Paper
source:activity,target:hasEvent
source:agency,target:organises
source:alliance,target:partOf
source:alpsSection,target:partOf
source:alpsSubsection,target:partOf
source:announcedFrom,target:publisherOf
source:areaOfSearch,target:coversTopic
source:associatedAct,target:partOfEvent
source:author,target:authorOf
source:canonizedPlace,target:locationOf
source:chiefPlace,target:locationOf
source:city,target:locationOf
source:component,target:partOfEvent
source:connectsReferencedTo,target:references
source:creator,target:authorOf
source:curator,target:organises
source:currentCity,target:locationOf
source:eastPlace,target:locationOf
source:entourage,target:partOf
source:europeanAffiliation,target:partOf
source:event,target:hasEvent
source:firstPublisher,target:publisherOf
source:geolocDepartment,target:locationOf
source:hasInsidePlace,target:heldIn
source:isPartOf,target:partOf
source:leadTeam,target:organises
source:leaderFunction,target:organises
source:leftTributary,target:partOf
source:livingPlace,target:locationOf
source:locatedInArea,target:locationOf
source:location,target:locationOf
source:locationCity,target:locationOf
source:mainInterest,target:coversTopic
source:managementMountain,target:organises
source:managementPlace,target:organises
source:manager,target:organises
source:meetingBuilding,target:heldIn
source:meetingCity,target:locationOf
source:nationalTournament,target:partOfEvent
source:nonFictionSubject,target:coversTopic
source:northEastPlace,target:locationOf
source:northPlace,target:locationOf
source:operator,target:organises
source:order,target:organises
source:organisation,target:organises
source:origo,target:locationOf
source:otherMedia,target:paperPresentedAs
source:owningCompany,target:publisherOf
source:owningOrganisation,target:organises
source:part,target:hasPart
source:party,target:partOfEvent
source:place,target:locationOf
source:presentMunicipality,target:locationOf
source:presenter,target:paperPresentedAs
source:proTeam,target:partOf
source:producedBy,target:publisherOf
source:producer,target:organises
source:projectCoordinator,target:organises
source:publisher,target:publisherOf
source:related,target:coversTopic
source:relatedFunctions,target:organises
source:show,target:presentationOfPaper
source:soccerTournamentOpeningSeason,target:partOfEvent
source:sourceConfluencePlace,target:locationOf
source:sourcePlace,target:locationOf
source:southEastPlace,target:locationOf
source:southPlace,target:partOf
source:startPoint,target:locationOf
source:team,target:partOf
source:usingCountry,target:locationOf
source:writer,target:authorOf
source:abstract,target:paperPresentedAs
source:address,target:locationOf
source:alternativeTitle,target:paperPresentedAs
source:area,target:topicCoveredBy
source:asiaChampionship,target:partOfEvent
source:center,target:locationOf
source:characterInPlay,target:partOfEvent
source:dateAct,target:partOfEvent
source:digitalChannel,target:paperPresentedAs
source:documentDesignation,target:paperPresentedAs
source:eMedicineSubject,target:coversTopic
source:episode,target:partOfEvent
source:eptTitle,target:coversTopic
source:eventDate,target:heldIn
source:galicianSpeakersDate,target:hasEvent
source:graySubject,target:coversTopic
source:inn,target:heldIn
source:isPartOfName,target:partOf
source:isPeerReviewed,target:reviewOfPaper
source:ist,target:heldIn
source:locationIdentifier,target:heldIn
source:locationName,target:locationOf
source:material,target:paperPresentedAs
source:ons,target:references
source:output,target:presentationOfPaper
source:participant,target:partOfEvent
source:podium,target:presentationOfPaper
source:podiums,target:partOfEvent
source:presentName,target:presentationOfPaper
source:projectKeyword,target:coversTopic
source:refcul,target:references
source:refgen,target:references
source:reign,target:heldIn
source:reservations,target:heldIn
source:result,target:presentationOfPaper
source:review,target:reviewOfPaper
source:scene,target:partOfEvent
source:sentence,target:coversTopic
source:sessionNumber,target:partOf
source:settingOfPlay,target:locationOf
source:shareOfAudience,target:partOf
source:speaker,target:presentationOfPaper
source:speciality,target:topicCoveredBy
source:subdivisionLink,target:hasPart
source:subdivisions,target:partOf
source:subjectOfPlay,target:topicCoveredBy
source:subjectTerm,target:topicCoveredBy
source:tempPlace,target:heldIn
source:third,target:coversTopic
source:title,target:topicCoveredBy
source:titleSingle,target:paperPresentedAs
source:topic,target:coversTopic
source:umbrellaTitle,target:coversTopic
source:updated,target:updatedVersionOf
source:work,target:presentationOfPaper
source:wptTitle,target:paperPresentedAs
source:area,target:topicCoveredBy
