Entity2,Entity1
target:Event,source:Event
target:Person,source:Person
target:Evaluated_Paper,source:WrittenWork
target:Camera_Ready_Paper,source:Article
target:Workshop_Paper,source:WrittenWork
target:Paper,source:Document
target:Conference_Paper,source:AcademicConference
target:Conference_Session,source:Meeting
target:Document,source:Document
target:Paper_Author,source:Writer
target:Conference_Trip,source:AcademicConference
target:Social_Event,source:SocietalEvent
target:Conference_Participant,source:Person
target:Submitted_Paper,source:WrittenWork
target:Assigned_Paper,source:Article
target:Research_Topic,source:TopicalConcept
target:Organising_Agency,source:Organisation
target:Academic_Institution,source:EducationalInstitution
target:Organisation,source:Organisation
target:Regular_Paper,source:Article
target:Location,source:Location
target:Scientific_Event,source:Event
target:Contributed_Talk,source:Presenter
target:Conference,source:Meeting
target:PC_Chair,source:OfficeHolder
target:PC_Member,source:OrganisationMember
target:OC_Member,source:OrganisationMember
target:Proceedings,source:AcademicConference
target:Programme_Brochure,source:Document
target:Web_Site,source:Website
target:Individual_Presentation,source:Presenter
target:OC_Chair,source:OfficeHolder
target:Conference_Proceedings,source:AcademicConference
target:University,source:University
target:Possible_Reviewer,source:Referee
target:Invited_Speaker,source:Presenter
target:Presenter,source:Presenter
target:SC_Member,source:MemberOfParliament
target:writtenBy,source:writer
target:hasReviewer,source:isPeerReviewed
target:partOfEvent,source:isPartOf
target:hasEvent,source:event
target:eventOnList,source:event
target:hasPart,source:part
target:partOf,source:isPartOf
target:referencedIn,source:reference
target:organisedBy,source:organisation
target:organises,source:organisation
target:reviewerOfPaper,source:review
target:locationOf,source:location
target:heldIn,source:locatedInArea
target:publisherOf,source:publisher
target:scientificallyOrganises,source:order
target:scientificallyOrganisedBy,source:organisation
target:authorOf,source:writer
target:hasUpdatedVersion,source:updated
target:paperInVolume,source:volumes
target:coversTopic,source:subjectTerm
target:topicCoveredBy,source:subjectTerm
target:reviewWrittenBy,source:author
