Entity1,Entity2
source:Award,target:Award
source:Document,target:Document
source:Hotel,target:Hotel
source:Meeting,target:Conference
source:OrganisationMember,target:Organizing_Committee_member
source:Person,target:Person
source:Place,target:Place
source:Writer,target:Author
source:award,target:award
source:currency,target:Currency
source:fundedBy,target:payed_by
source:meetingCity,target:City_of_conference
source:presenter,target:presentationed_by
source:show,target:presentation
source:acquirementDate,target:obtain
source:date,target:Date
source:functionEndDate,target:End_of_conference
source:name,target:Name
source:nation,target:Nation
source:notifyDate,target:notification_until
source:officialName,target:Name_of_conference
source:price,target:Price
source:start,target:Start_of_conference
