Entity1,Entity2
source:Review,target:Review
source:Paper,target:Paper
source:Document,target:Document
source:Topic,target:Research_Topic
source:ConferenceEvent,target:Event
source:Organization,target:Organisation
source:Conference,target:Conference
source:Person,target:Person
source:ConferenceSession,target:Conference_Session
source:Place,target:Location
source:ConferenceChair,target:PC_Chair
source:Presenter,target:Presenter
source:AcademiaOrganization,target:Academic_Institution
source:RejectedPaper,target:Rejected_Paper
source:AcceptedPaper,target:Accepted_Paper
source:Attendee,target:Conference_Participant
source:TalkEvent,target:Invited_Talk
source:SessionChair,target:Session_Chair
source:TPCMember,target:PC_Member
source:PaperPresentation,target:Individual_Presentation
source:Workshop,target:Workshop
source:SocialEvent,target:Social_Event
source:RatedPapers,target:Evaluated_Paper
source:ConferenceDinner,target:Conference_Banquet
source:isReviewing,target:reviewerOfPaper
source:hasTopic,target:coversTopic
source:isWrittenBy,target:writtenBy
source:belongsToEvent,target:partOfEvent
source:hasLocation,target:heldIn
