Entity2,Entity1
http://ekaw#Academic_Institution,http://edas#AcademiaOrganization
http://ekaw#Accepted_Paper,http://edas#AcceptedPaper
http://ekaw#Conference,http://edas#Conference
http://ekaw#Conference_Banquet,http://edas#ConferenceEvent
http://ekaw#Conference_Paper,http://edas#Paper
http://ekaw#Conference_Participant,http://edas#Attendee
http://ekaw#Conference_Session,http://edas#ConferenceSession
http://ekaw#Conference_Trip,http://edas#ConferenceEvent
http://ekaw#Document,http://edas#Document
http://ekaw#Event,http://edas#ConferenceEvent
http://ekaw#Industrial_Session,http://edas#ConferenceSession
http://ekaw#Invited_Talk,http://edas#TalkEvent
http://ekaw#Location,http://edas#Place
http://ekaw#OC_Chair,http://edas#ConferenceChair
http://ekaw#Organisation,http://edas#Organization
http://ekaw#Organising_Agency,http://edas#Organization
http://ekaw#PC_Chair,http://edas#ConferenceChair
http://ekaw#PC_Member,http://edas#TPCMember
http://ekaw#Paper,http://edas#Paper
http://ekaw#Paper_Author,http://edas#Author
http://ekaw#Person,http://edas#Person
http://ekaw#Possible_Reviewer,http://edas#Reviewer
http://ekaw#Presenter,http://edas#Presenter
http://ekaw#Rejected_Paper,http://edas#RejectedPaper
http://ekaw#Research_Topic,http://edas#Topic
http://ekaw#Review,http://edas#Review
http://ekaw#Scientific_Event,http://edas#ConferenceEvent
http://ekaw#Session,http://edas#ConferenceSession
http://ekaw#Session_Chair,http://edas#SessionChair
http://ekaw#Social_Event,http://edas#SocialEvent
http://ekaw#Workshop,http://edas#Workshop
http://ekaw#authorOf,http://edas#isWrittenBy
http://ekaw#coversTopic,http://edas#hasTopic
http://ekaw#hasReviewer,http://edas#isReviewedBy
http://ekaw#heldIn,http://edas#hasLocation
http://ekaw#locationOf,http://edas#isLocationOf
http://ekaw#partOfEvent,http://edas#belongsToEvent
http://ekaw#reviewWrittenBy,http://edas#isWrittenBy
http://ekaw#topicCoveredBy,http://edas#isTopicOf
http://ekaw#writtenBy,http://edas#isWrittenBy
