Entity1,Entity2
source:ConferenceDinner,target:Conference_Banquet
source:AcademicEvent,target:Scientific_Event
source:AcceptedPaper,target:Accepted_Paper
source:isReviewedBy,target:hasReviewer
source:Place,target:Location
source:AcademiaOrganization,target:Academic_Institution
source:SocialEvent,target:Social_Event
source:isReviewing,target:reviewerOfPaper
source:Organization,target:Organisation
source:Author,target:Paper_Author
source:isLocationOf,target:locationOf
source:Topic,target:Research_Topic
source:Document,target:Document
source:RejectedPaper,target:Rejected_Paper
source:ConferenceEvent,target:Event
source:SessionChair,target:Session_Chair
source:Person,target:Person
source:Programme,target:Programme_Brochure
source:Review,target:Review
source:Workshop,target:Workshop
source:Paper,target:Paper
source:Attendee,target:Conference_Participant
source:hasLocation,target:heldIn
