Entity1,Entity2
http://edas#AcademicEvent,http://iasted#Conference_activity
http://edas#AcceptedPaper,http://iasted#Accepting_manuscript
http://edas#Attendee,http://iasted#Person
http://edas#Author,http://iasted#Author
http://edas#CoffeeBreak,http://iasted#Coffee_break
http://edas#ConferenceDinner,http://iasted#Dinner_banquet
http://edas#ConferenceSession,http://iasted#Session
http://edas#Document,http://iasted#Document
http://edas#MeetingRoomPlace,http://iasted#Session_room
http://edas#NonAcademicEvent,http://iasted#Social_program
http://edas#Paper,http://iasted#Publication
http://edas#PaperPresentation,http://iasted#Presentation
http://edas#Person,http://iasted#Person
http://edas#Place,http://iasted#Place
http://edas#Presenter,http://iasted#Speaker
http://edas#PublishedPaper,http://iasted#Publication
http://edas#RejectedPaper,http://iasted#Refusing_manuscript
http://edas#Review,http://iasted#Review
http://edas#Reviewer,http://iasted#Reviewer
http://edas#SessionChair,http://iasted#Session_chair
http://edas#SlideSet,http://iasted#PowerPoint_presentation
http://edas#TPCMember,http://iasted#Non_speaker
http://edas#TalkEvent,http://iasted#Conference_activity
http://edas#WelcomeTalk,http://iasted#Welcome_address
http://edas#hasLocation,http://iasted#is_situated_in
http://edas#isLocationOf,http://iasted#is_situated_in
