Entity2,Entity1
http://iasted#Activity,http://edas#ConferenceEvent
http://iasted#Author,http://edas#Author
http://iasted#Brief_introduction_for_Session_chair,http://edas#SessionChair
http://iasted#Coffee_break,http://edas#CoffeeBreak
http://iasted#Conference_activity,http://edas#ConferenceEvent
http://iasted#Conference_building,http://edas#ConferenceVenuePlace
http://iasted#Conference_city,http://edas#ConferenceVenuePlace
http://iasted#Conference_days,http://edas#ConferenceEvent
http://iasted#Conference_hall,http://edas#ConferenceVenuePlace
http://iasted#Dinner_banquet,http://edas#ConferenceDinner
http://iasted#Document,http://edas#Document
http://iasted#Listener,http://edas#Attendee
http://iasted#One_day_presenter,http://edas#Presenter
http://iasted#Person,http://edas#Person
http://iasted#Place,http://edas#Place
http://iasted#Plenary_lecture_speaker,http://edas#Presenter
http://iasted#Publication,http://edas#PublishedPaper
http://iasted#Receiving_manuscript,http://edas#CallForManuscripts
http://iasted#Refusing_manuscript,http://edas#RejectedPaper
http://iasted#Review,http://edas#Review
http://iasted#Reviewer,http://edas#Reviewer
http://iasted#Session,http://edas#ConferenceSession
http://iasted#Session_chair,http://edas#SessionChair
http://iasted#Session_room,http://edas#ConferenceSession
http://iasted#Speaker,http://edas#Presenter
http://iasted#Speaker_lecture,http://edas#Presenter
http://iasted#Sponsor,http://edas#Sponsorship
http://iasted#Sponzorship,http://edas#Sponsorship
http://iasted#State,http://edas#Country
http://iasted#Submission,http://edas#CallForPapers
http://iasted#is_writen_by,http://edas#isWrittenBy
