Entity1,Entity2
http://edas#Attendee,http://sigkdd#Person
http://edas#Author,http://sigkdd#Author
http://edas#Conference,http://sigkdd#Conference
http://edas#Document,http://sigkdd#Document
http://edas#Paper,http://sigkdd#Paper
http://edas#Person,http://sigkdd#Person
http://edas#Place,http://sigkdd#Place
http://edas#Presenter,http://sigkdd#Speaker
http://edas#PublishedPaper,http://sigkdd#Paper
http://edas#Review,http://sigkdd#Review
http://edas#Reviewer,http://sigkdd#Review
http://edas#Sponsorship,http://sigkdd#Sponzor
http://edas#hasName,http://sigkdd#Name_of_conference
http://edas#hasSubmissionDeadline,http://sigkdd#submit_until
http://edas#providedBy,http://sigkdd#Name_of_sponsor
http://edas#startDate,http://sigkdd#Date
