Entity1,Entity2
http://ekaw#Conference_Proceedings,http://iasted#Book_proceeding
http://ekaw#Document,http://iasted#Document
http://ekaw#Location,http://iasted#Place
http://ekaw#Person,http://iasted#Person
http://ekaw#Presenter,http://iasted#Speaker
http://ekaw#Rejected_Paper,http://iasted#Refusing_manuscript
http://ekaw#Review,http://iasted#Review
http://ekaw#Session,http://iasted#Session
http://ekaw#Session_Chair,http://iasted#Session_chair
http://ekaw#Social_Event,http://iasted#Activity
http://ekaw#Submitted_Paper,http://iasted#Submission
http://ekaw#Tutorial,http://iasted#Tutorial
http://ekaw#writtenBy,http://iasted#is_writen_by
