Entity1,Entity2
http://ekaw#Accepted_Paper,http://iasted#Accepting_manuscript
http://ekaw#Camera_Ready_Paper,http://iasted#Final_manuscript
http://ekaw#Conference_Banquet,http://iasted#Dinner_banquet
http://ekaw#Conference_Paper,http://iasted#Publication
http://ekaw#Conference_Participant,http://iasted#Delegate
http://ekaw#Conference_Participant,http://iasted#Person
http://ekaw#Conference_Proceedings,http://iasted#Publication
http://ekaw#Conference_Session,http://iasted#Session
http://ekaw#Document,http://iasted#Document
http://ekaw#Invited_Speaker,http://iasted#Speaker
http://ekaw#Invited_Talk,http://iasted#Speaker
http://ekaw#Multi-author_Volume,http://iasted#Publication
http://ekaw#PC_Member,http://iasted#Non_speaker
http://ekaw#Paper_Author,http://iasted#Author
http://ekaw#Person,http://iasted#Person
http://ekaw#Possible_Reviewer,http://iasted#Reviewer
http://ekaw#Presenter,http://iasted#Speaker
http://ekaw#Rejected_Paper,http://iasted#Refusing_manuscript
http://ekaw#Review,http://iasted#Review
http://ekaw#Session,http://iasted#Session
http://ekaw#Session_Chair,http://iasted#Session_chair
http://ekaw#Submitted_Paper,http://iasted#Submission
http://ekaw#Tutorial,http://iasted#Tutorial
http://ekaw#authorOf,http://iasted#is_writen_by
http://ekaw#heldIn,http://iasted#is_held_in
