Entity2,Entity1
http://iasted#Activity,http://ekaw#Social_Event
http://iasted#Book_proceeding,http://ekaw#Conference_Proceedings
http://iasted#Brief_introduction_for_Session_chair,http://ekaw#Session_Chair
http://iasted#Conference_activity,http://ekaw#Event
http://iasted#Document,http://ekaw#Document
http://iasted#Introduction_of_speaker,http://ekaw#Presenter
http://iasted#Person,http://ekaw#Person
http://iasted#Place,http://ekaw#Location
http://iasted#Presentation,http://ekaw#Invited_Talk
http://iasted#Refusing_manuscript,http://ekaw#Rejected_Paper
http://iasted#Review,http://ekaw#Review
http://iasted#Reviewer,http://ekaw#Possible_Reviewer
http://iasted#Reviewer,http://ekaw#Review
http://iasted#Session,http://ekaw#Session
http://iasted#Session_chair,http://ekaw#Session_Chair
http://iasted#Session_room,http://ekaw#Workshop_Session
http://iasted#Speaker,http://ekaw#Presenter
http://iasted#Speaker_lecture,http://ekaw#Presenter
http://iasted#Submission,http://ekaw#Submitted_Paper
http://iasted#Trip_day,http://ekaw#Conference_Trip
http://iasted#Tutorial,http://ekaw#Tutorial
http://iasted#is_writen_by,http://ekaw#writtenBy
