Entity1,Entity2
source:Person,target:Person
source:Camera_Ready_Paper,target:Document
source:Paper,target:Paper
source:Conference_Paper,target:Paper
source:Abstract,target:Abstract
source:Document,target:Document
source:Paper_Author,target:Author_of_paper
source:Submitted_Paper,target:Paper
source:Review,target:Review
source:Organising_Agency,target:Organizator
source:Regular_Paper,target:Paper
source:Location,target:Place
source:Invited_Talk_Abstract,target:Abstract
source:Invited_Talk,target:Invited_Speaker
source:Contributed_Talk,target:Speaker
source:Conference,target:Conference
source:PC_Chair,target:Program_Chair
source:PC_Member,target:Program_Committee_member
source:OC_Member,target:Organizing_Committee_member
source:Proceedings,target:Document
source:Individual_Presentation,target:Speaker
source:OC_Chair,target:Organizing_Committee
source:University,target:Place
source:Invited_Speaker,target:Invited_Speaker
source:Presenter,target:Speaker
source:hasEvent,target:hold
source:presentationOfPaper,target:presentation
source:organisedBy,target:holded_by
source:organises,target:hold
source:paperPresentedAs,target:presentation
source:technicallyOrganisedBy,target:holded_by
source:technicallyOrganises,target:hold
