Entity2,Entity1
target:Place,source:Location
target:Abstract,source:Abstract
target:Document,source:Document
target:Deadline_Abstract_Submission,source:Abstract
target:Best_Applications_Paper_Award,source:Conference_Paper
target:Organizator,source:Organisation
target:Author_of_paper_student,source:Paper_Author
target:Author,source:Paper_Author
target:Conference,source:Conference
target:Person,source:Person
target:Conference_hall,source:Conference
target:Program_Chair,source:PC_Chair
target:Review,source:Review
target:Program_Committee,source:PC_Member
target:Speaker,source:Invited_Speaker
target:Organizing_Committee,source:Organising_Agency
target:Program_Committee_member,source:PC_Member
target:Invited_Speaker,source:Invited_Speaker
target:Best_Research_Paper_Award,source:Conference_Paper
target:Paper,source:Paper
target:Organizing_Committee_member,source:OC_Member
target:Author_of_paper,source:Paper_Author
target:presentation,source:presentationOfPaper
target:submit,source:paperPresentedAs
target:holded_by,source:heldIn
target:presentationed_by,source:paperPresentedAs
target:Name_of_conference,source:coversTopic
target:Name_of_sponsor,source:publisherOf
target:Start_of_conference,source:partOfEvent
target:City_of_conference,source:locationOf
target:End_of_conference,source:partOfEvent
