Entity1,Entity2
http://iasted#Conference_hall,http://sigkdd#Conference_hall
http://iasted#Deadline,http://sigkdd#Deadline
http://iasted#Document,http://sigkdd#Document
http://iasted#Fee,http://sigkdd#Fee
http://iasted#Listener,http://sigkdd#Listener
http://iasted#Main_office,http://sigkdd#Main_office
http://iasted#Person,http://sigkdd#Person
http://iasted#Place,http://sigkdd#Place
http://iasted#Registration_fee,http://sigkdd#Registration_fee
http://iasted#Review,http://sigkdd#Review
http://iasted#Speaker,http://sigkdd#Speaker
http://iasted#obtain,http://sigkdd#obtain
http://iasted#pay,http://sigkdd#pay
