Entity1,Entity2
source:Place,target:Place
source:Review,target:Review
source:Student_registration_fee,target:Registration_Student
source:Fee,target:Fee
source:Registration_fee,target:Registration_fee
source:Sponsor,target:Sponzor
source:Deadline_for_notification_of_acceptance,target:Deadline_Author_notification
source:Nonmember_registration_fee,target:Registration_Non-Member
source:Author,target:Author
source:Listener,target:Listener
source:Main_office,target:Main_office
source:Conference_hall,target:Conference_hall
source:Person,target:Person
source:Deadline,target:Deadline
source:Speaker,target:Speaker
