Entity1,Entity2
http://thesauri.dainst.org/_0117de29,https://isl.ics.forth.gr/parthenos_vocabularies/Concept/7192
http://thesauri.dainst.org/_0117de29,https://isl.ics.forth.gr/parthenos_vocabularies/Concept/7111
http://thesauri.dainst.org/_0117de29,https://isl.ics.forth.gr/parthenos_vocabularies/Concept/7263
http://thesauri.dainst.org/_018b18d1,https://isl.ics.forth.gr/parthenos_vocabularies/Concept/7266
http://thesauri.dainst.org/_0530b8a9,https://isl.ics.forth.gr/parthenos_vocabularies/Concept/7179
http://thesauri.dainst.org/_09106e2a,https://isl.ics.forth.gr/parthenos_vocabularies/Concept/7135
http://thesauri.dainst.org/_0aa1995c,https://isl.ics.forth.gr/parthenos_vocabularies/Concept/7147
http://thesauri.dainst.org/_0bbbd3c7,https://isl.ics.forth.gr/parthenos_vocabularies/Concept/7099
http://thesauri.dainst.org/_1591f7f8,https://isl.ics.forth.gr/parthenos_vocabularies/Concept/7222
http://thesauri.dainst.org/_1d839342,https://isl.ics.forth.gr/parthenos_vocabularies/Concept/7094
http://thesauri.dainst.org/_1f524e33,https://isl.ics.forth.gr/parthenos_vocabularies/Concept/7114
http://thesauri.dainst.org/_2b089ca4,https://isl.ics.forth.gr/parthenos_vocabularies/Concept/7214
http://thesauri.dainst.org/_2b089ca4,https://isl.ics.forth.gr/parthenos_vocabularies/Concept/7142
http://thesauri.dainst.org/_2b089ca4,https://isl.ics.forth.gr/parthenos_vocabularies/Concept/7223
http://thesauri.dainst.org/_2e5fdad9,https://isl.ics.forth.gr/parthenos_vocabularies/Concept/7238
http://thesauri.dainst.org/_2eaf48c6,https://isl.ics.forth.gr/parthenos_vocabularies/Concept/7112
http://thesauri.dainst.org/_30ac6926,https://isl.ics.forth.gr/parthenos_vocabularies/Concept/7163
http://thesauri.dainst.org/_3bff2fb5,https://isl.ics.forth.gr/parthenos_vocabularies/Concept/7247
http://thesauri.dainst.org/_3daffa4b,https://isl.ics.forth.gr/parthenos_vocabularies/Concept/7190
http://thesauri.dainst.org/_4184afc2,https://isl.ics.forth.gr/parthenos_vocabularies/Concept/7164
http://thesauri.dainst.org/_4b0d451a,https://isl.ics.forth.gr/parthenos_vocabularies/Concept/7107
http://thesauri.dainst.org/_4d1096fb,https://isl.ics.forth.gr/parthenos_vocabularies/Concept/7136
http://thesauri.dainst.org/_4d1bfe78,https://isl.ics.forth.gr/parthenos_vocabularies/Concept/7170
http://thesauri.dainst.org/_59a790d9,https://isl.ics.forth.gr/parthenos_vocabularies/Concept/7267
http://thesauri.dainst.org/_5d1ac0ba,https://isl.ics.forth.gr/parthenos_vocabularies/Concept/7165
http://thesauri.dainst.org/_64e2871b,https://isl.ics.forth.gr/parthenos_vocabularies/Concept/7172
http://thesauri.dainst.org/_697dc279,https://isl.ics.forth.gr/parthenos_vocabularies/Concept/7118
http://thesauri.dainst.org/_6a167951,https://isl.ics.forth.gr/parthenos_vocabularies/Concept/7242
http://thesauri.dainst.org/_6d528ffb,https://isl.ics.forth.gr/parthenos_vocabularies/Concept/7199
http://thesauri.dainst.org/_6d528ffb,https://isl.ics.forth.gr/parthenos_vocabularies/Concept/7115
http://thesauri.dainst.org/_8bb3692d,https://isl.ics.forth.gr/parthenos_vocabularies/Concept/7221
http://thesauri.dainst.org/_8bca4bf1,https://isl.ics.forth.gr/parthenos_vocabularies/Concept/7219
http://thesauri.dainst.org/_a0be179c,https://isl.ics.forth.gr/parthenos_vocabularies/Concept/7107
http://thesauri.dainst.org/_a4276388,https://isl.ics.forth.gr/parthenos_vocabularies/Concept/7171
http://thesauri.dainst.org/_a4c97475,https://isl.ics.forth.gr/parthenos_vocabularies/Concept/7243
http://thesauri.dainst.org/_a671d80c,https://isl.ics.forth.gr/parthenos_vocabularies/Concept/7146
http://thesauri.dainst.org/_acc90782,https://isl.ics.forth.gr/parthenos_vocabularies/Concept/7137
http://thesauri.dainst.org/_afbdde2e,https://isl.ics.forth.gr/parthenos_vocabularies/Concept/7226
http://thesauri.dainst.org/_b34a7579,https://isl.ics.forth.gr/parthenos_vocabularies/Concept/7154
http://thesauri.dainst.org/_b9892df7,https://isl.ics.forth.gr/parthenos_vocabularies/Concept/7243
http://thesauri.dainst.org/_c1210d5a,https://isl.ics.forth.gr/parthenos_vocabularies/Concept/7161
http://thesauri.dainst.org/_c26d8599,https://isl.ics.forth.gr/parthenos_vocabularies/Concept/7246
http://thesauri.dainst.org/_c332e252,https://isl.ics.forth.gr/parthenos_vocabularies/Concept/7213
http://thesauri.dainst.org/_cadb286c,https://isl.ics.forth.gr/parthenos_vocabularies/Concept/7162
http://thesauri.dainst.org/_cc22e013,https://isl.ics.forth.gr/parthenos_vocabularies/Concept/7216
http://thesauri.dainst.org/_ccc4d1d5,https://isl.ics.forth.gr/parthenos_vocabularies/Concept/7240
http://thesauri.dainst.org/_dac3529c,https://isl.ics.forth.gr/parthenos_vocabularies/Concept/7184
http://thesauri.dainst.org/_ed0828c5,https://isl.ics.forth.gr/parthenos_vocabularies/Concept/7249
http://thesauri.dainst.org/_eee85fa3,https://isl.ics.forth.gr/parthenos_vocabularies/Concept/7201
http://thesauri.dainst.org/_fcc3853f,https://isl.ics.forth.gr/parthenos_vocabularies/Concept/7152
http://thesauri.dainst.org/_fcc3853f,https://isl.ics.forth.gr/parthenos_vocabularies/Concept/7116
http://thesauri.dainst.org/_fe470a76,https://isl.ics.forth.gr/parthenos_vocabularies/Concept/7194
