entity,source_or_target,entity_type,syntactic_matching,lexical_matching,semantic_matching
https://vocabs.acdh.oeaw.ac.at/iadthesaurus/scheme/concept282,Source,Class,prehistory,"In digital humanities, “Prehistory” refers to the period of human past before written records—studied through material, environmental, and computational evidence (e.g., archaeology, artifacts, paleoenvironmental data), often analyzed with digital methods like GIS, 3D modeling, and databases. 282 refers to the relevant entry or code linking to this topic in your system.","- Bronze Age is a broader concept of Prehistory.
- Iron-Age-Danube thesaurus has top concept Prehistory.
- Paläolithikum is a broader concept of Prehistory.
- eneolitik is a broader concept of Prehistory.
- mezolit is a broader concept of Prehistory.
- neolit is a broader concept of Prehistory.
- vaskor is a broader concept of Prehistory.
- Prehistory has narrower concepts: Bronze Age, Paläolithikum, eneolitik, mezolit, neolit, vaskor.
- Prehistory is the top concept of Iron-Age-Danube thesaurus."
https://vocabs.acdh.oeaw.ac.at/iadthesaurus/scheme/concept283,Source,Class,pal olithikum,"Paläolithikum means the Paleolithic (Old Stone Age), the earliest prehistoric period characterized by stone tool use and hunter-gatherer societies. In digital humanities (ID 283), it typically tags or categorizes data related to this era (e.g., artifacts, sites, texts/metadata).","- “Paläolithikum” is a broader concept’s member of “Prehistory.”  
- “Prehistory” has the narrower concept “Paläolithikum.”"
https://vocabs.acdh.oeaw.ac.at/iadthesaurus/scheme/concept284,Source,Class,mezolit,"In the context of digital humanities, “mezolit” refers to the Mesolithic period (Middle Stone Age), typically denoting cultural or archaeological data, texts, or metadata tagged to that era. Extra info 284 likely points to a controlled vocabulary/code entry identifying the Mesolithic period.","- “Prehistory” has the narrower concept “mezolit”.
- “mezolit” has the broader concept “Prehistory”."
https://vocabs.acdh.oeaw.ac.at/iadthesaurus/scheme/concept285,Source,Class,neolit,"In digital humanities, “neolit” most likely refers to “Neolithic” (Neolitic), the prehistoric period characterized by the shift to agriculture, settled communities, and new tool/ceramic technologies. It’s often used as a category or tag in datasets, ontologies, or metadata for classifying artifacts, sites, or texts related to the Neolithic era.","- “Prehistory” has narrower concept “neolit”.
- “neolit” has broader concept “Prehistory”."
https://vocabs.acdh.oeaw.ac.at/iadthesaurus/scheme/concept286,Source,Class,eneolitik,"Eneolitik: In digital humanities context, refers to the Eneolithic (Chalcolithic) period—the transitional era between the Neolithic and the Bronze Age, characterized by the first use of copper alongside stone tools. (Ref: 286)","- ""Prehistory"" has the narrower concept ""eneolitik"".
- ""eneolitik"" has the broader concept ""Prehistory""."
https://vocabs.acdh.oeaw.ac.at/iadthesaurus/scheme/concept287,Source,Class,bronze age,"In digital humanities, “Bronze Age” refers to the archaeological-historical period characterized by the widespread use of bronze tools and weapons, typically following the Neolithic and preceding the Iron Age. In many datasets/ontologies (e.g., periodizations), it’s a temporal label used to tag artifacts, texts, sites, and cultural data roughly dated to ca. 3300–1200 BCE (regionally variable). “287” likely denotes an internal code or identifier for this period in a specific dataset.","- Prehistory has narrower concept Bronze Age.
- Urnenfelderzeit has broader concept Bronze Age.
- középső bronzkor has broader concept Bronze Age.
- rano brončano doba has broader concept Bronze Age.
- Bronze Age has broader concept Prehistory.
- Bronze Age has narrower concept Urnenfelderzeit.
- Bronze Age has narrower concept középső bronzkor.
- Bronze Age has narrower concept rano brončano doba."
https://vocabs.acdh.oeaw.ac.at/iadthesaurus/scheme/concept288,Source,Class,rano bron ano doba,"“Rano brončano doba” means the Early Bronze Age. In a digital humanities context, “288” likely denotes a classification or code (e.g., a project ID, dataset code, or taxonomy number) associated with Early Bronze Age materials or records.","- “Bronze Age” has narrower concept “rano brončano doba”.
- “rano brončano doba” has broader concept “Bronze Age”."
https://vocabs.acdh.oeaw.ac.at/iadthesaurus/scheme/concept289,Source,Class,k z ps bronzkor,"In digital humanities metadata/chronology, “középső bronzkor” (Hungarian) means the Middle Bronze Age. The extra code “289” likely denotes its controlled-vocabulary or period identifier in the dataset.","- “középső bronzkor” is a narrower term of “Bronze Age”.
- “Bronze Age” is a broader term of “középső bronzkor”."
https://vocabs.acdh.oeaw.ac.at/iadthesaurus/scheme/concept290,Source,Class,urnenfelderzeit,"Urnenfelderzeit (Urnfield period) refers to the Late Bronze Age cultural phase in Central Europe characterized by cremation burials with ashes placed in urns and buried in organized “urn fields.” In digital humanities contexts, it denotes a chronological/cultural metadata tag for datasets, texts, or artifacts dated to this period. The “290” likely maps to a controlled vocabulary or timespan code identifying this period.","- Bronze Age has narrower concept Urnenfelderzeit.
- Urnenfelderzeit has broader concept Bronze Age."
https://vocabs.acdh.oeaw.ac.at/iadthesaurus/scheme/concept291,Source,Class,vaskor,"In digital humanities, “vaskor” refers to VaskoR (often stylized), a resource identifier/code used in datasets or projects—here likely pointing to entry 291—serving as a catalog or registry ID for a specific digital object, record, or resource within a humanities database.","- Prehistory has narrower concept vaskor.
- késő vaskor has broader concept vaskor.
- vaskor has broader concept Prehistory.
- vaskor has narrower concept késő vaskor."
