Entity1,Entity2
https://vocabs.acdh.oeaw.ac.at/oeai-cultural-periods/concept23195,https://isl.ics.forth.gr/parthenos_vocabularies/Concept/7236
https://vocabs.acdh.oeaw.ac.at/oeai-cultural-periods/concept23196,https://isl.ics.forth.gr/parthenos_vocabularies/Concept/7139
https://vocabs.acdh.oeaw.ac.at/oeai-cultural-periods/concept23225,https://isl.ics.forth.gr/parthenos_vocabularies/Concept/7094
https://vocabs.acdh.oeaw.ac.at/oeai-cultural-periods/concept23226,https://isl.ics.forth.gr/parthenos_vocabularies/Concept/7238
https://vocabs.acdh.oeaw.ac.at/oeai-cultural-periods/concept23243,https://isl.ics.forth.gr/parthenos_vocabularies/Concept/7146
https://vocabs.acdh.oeaw.ac.at/oeai-cultural-periods/concept23244,https://isl.ics.forth.gr/parthenos_vocabularies/Concept/7268
https://vocabs.acdh.oeaw.ac.at/oeai-cultural-periods/concept23247,https://isl.ics.forth.gr/parthenos_vocabularies/Concept/7189
https://vocabs.acdh.oeaw.ac.at/oeai-cultural-periods/concept23251,https://isl.ics.forth.gr/parthenos_vocabularies/Concept/7208
https://vocabs.acdh.oeaw.ac.at/oeai-cultural-periods/concept23256,https://isl.ics.forth.gr/parthenos_vocabularies/Concept/7130
https://vocabs.acdh.oeaw.ac.at/oeai-cultural-periods/concept23260,https://isl.ics.forth.gr/parthenos_vocabularies/Concept/7239
https://vocabs.acdh.oeaw.ac.at/oeai-cultural-periods/concept23271,https://isl.ics.forth.gr/parthenos_vocabularies/Concept/7140
https://vocabs.acdh.oeaw.ac.at/oeai-cultural-periods/concept23272,https://isl.ics.forth.gr/parthenos_vocabularies/Concept/7266
https://vocabs.acdh.oeaw.ac.at/oeai-cultural-periods/concept23274,https://isl.ics.forth.gr/parthenos_vocabularies/Concept/7194
https://vocabs.acdh.oeaw.ac.at/oeai-cultural-periods/concept23275,https://isl.ics.forth.gr/parthenos_vocabularies/Concept/7216
https://vocabs.acdh.oeaw.ac.at/oeai-cultural-periods/concept23316,https://isl.ics.forth.gr/parthenos_vocabularies/Concept/7169
https://vocabs.acdh.oeaw.ac.at/oeai-cultural-periods/concept23317,https://isl.ics.forth.gr/parthenos_vocabularies/Concept/7199
https://vocabs.acdh.oeaw.ac.at/oeai-cultural-periods/concept23318,https://isl.ics.forth.gr/parthenos_vocabularies/Concept/7125
https://vocabs.acdh.oeaw.ac.at/oeai-cultural-periods/concept23495,https://isl.ics.forth.gr/parthenos_vocabularies/Concept/7172
https://vocabs.acdh.oeaw.ac.at/oeai-cultural-periods/concept23502,https://isl.ics.forth.gr/parthenos_vocabularies/Concept/7233
https://vocabs.acdh.oeaw.ac.at/oeai-cultural-periods/concept23514,https://isl.ics.forth.gr/parthenos_vocabularies/Concept/7200
https://vocabs.acdh.oeaw.ac.at/oeai-cultural-periods/concept23528,https://isl.ics.forth.gr/parthenos_vocabularies/Concept/7099
https://vocabs.acdh.oeaw.ac.at/oeai-cultural-periods/concept23530,https://isl.ics.forth.gr/parthenos_vocabularies/Concept/7219
https://vocabs.acdh.oeaw.ac.at/oeai-cultural-periods/concept23531,https://isl.ics.forth.gr/parthenos_vocabularies/Concept/7206
https://vocabs.acdh.oeaw.ac.at/oeai-cultural-periods/concept23532,https://isl.ics.forth.gr/parthenos_vocabularies/Concept/7179
https://vocabs.acdh.oeaw.ac.at/oeai-cultural-periods/concept23544,https://isl.ics.forth.gr/parthenos_vocabularies/Concept/7188
https://vocabs.acdh.oeaw.ac.at/oeai-cultural-periods/concept23546,https://isl.ics.forth.gr/parthenos_vocabularies/Concept/7184
https://vocabs.acdh.oeaw.ac.at/oeai-cultural-periods/concept23558,https://isl.ics.forth.gr/parthenos_vocabularies/Concept/7118
