entity,source_or_target,entity_type,syntactic_matching,lexical_matching,semantic_matching
http://www.w3.org/2004/02/skos/core#ConceptScheme,Source,Class,concept scheme,"In digital humanities (and linked data), a ConceptScheme is a structured collection of Concepts—an intentional vocabulary or taxonomy that defines terms and their relationships for a domain. In SKOS (the common standard), a ConceptScheme:

- Groups related concepts (e.g., themes, genres, places, periods)
- Provides metadata (title, creator, scope, version)
- Enables relationships within/between concepts (broader/narrower/related)
- Supports identifiers and multilingual labels

Examples: a controlled vocabulary for literary genres, a historical periodization thesaurus, or a place gazetteer.",Information is not available.
https://vocabs.dariah.eu/tadirah/abstractThinking,Source,Class,abstract thinking,"Abstract thinking, in the context of digital humanities, refers to the cognitive ability to conceptualize and manipulate ideas, patterns, and relationships beyond concrete instances—such as modeling, theorizing, and interpreting symbolic representations across media and data. (Source: Wikidata item Q25501084)","- “Abstract Thinking” is a broader concept of “Teorización.”
- “Teorización” is a narrower concept of “Abstract Thinking.”"
https://vocabs.dariah.eu/tadirah/abstractThinking,Source,Class,abstract thinking,"Abstract thinking (Wikidata: Q25501084) is the capacity to understand, manipulate, and reason with concepts that are not tied to concrete, sensory experiences—such as categories, models, symbols, and relationships. In digital humanities, it underpins activities like modeling cultural data, interpreting patterns across heterogeneous sources, and using computational abstractions (e.g., ontologies, metadata schemas) to represent and analyze humanistic concepts.","- “Abstract Thinking” is broader than “Teorización”.
- “Teorización” is narrower than “Abstract Thinking”."
https://vocabs.dariah.eu/tadirah/academicPublishing,Source,Class,academic publishing,"Academic publishing is the subfield of publishing that disseminates academic research and scholarship—such as articles, monographs, and edited volumes—through channels like journals and academic presses. In digital humanities, it includes digital and computational scholarship distributed via online journals, repositories, and platforms.","- Academic Publishing is a broader concept of Објављивање.
- Објављивање has the narrower concept Academic Publishing."
https://vocabs.dariah.eu/tadirah/academicPublishing,Source,Class,academic publishing,"Academic publishing, in the context of digital humanities, is the subfield of publishing that distributes academic research and scholarship—often leveraging digital platforms, methods, and formats to produce, review, and disseminate humanities research.","- Academic Publishing is a broader concept’s narrower term: it is narrower than Објављивање.
- Објављивање has a narrower concept: Academic Publishing."
https://vocabs.dariah.eu/tadirah/adding,Source,Class,adding,"In digital humanities, “adding” refers to the arithmetic operation of addition: combining two or more numerical values to produce a sum. As an arithmetic operation (Wikidata Q32043), it’s used in tasks like aggregating counts (e.g., word frequencies), summing metadata fields, or combining quantitative measures across datasets.","- “Adding” is a broader concept of “Editing”.
- “Editing” has the narrower concept “Adding”."
https://vocabs.dariah.eu/tadirah/adding,Source,Class,adding,"In digital humanities, “adding” refers to the arithmetic operation of combining quantities to produce a sum (per Wikidata Q32043). Practically, this can mean summing numeric values in datasets (e.g., counts of words, frequencies, occurrences) or aggregating results across records or corpora to support quantitative analysis.","- “Adding” is a broader concept of “Editing”. (Adding skos:broader Editing)
- “Editing” has the narrower concept “Adding”. (Editing skos:narrower Adding)"
https://vocabs.dariah.eu/tadirah/aggregating,Source,Class,aggregating,"In digital humanities, aggregating means the act of collecting together physical or conceptual objects—such as texts, images, datasets, or metadata—into a unified set or resource. (Source: Wikidata Q23007394)","- “Aggregating” is a broader concept than “Recolección.”
- “Recolección” is a narrower concept than “Aggregating.”"
https://vocabs.dariah.eu/tadirah/aggregating,Source,Class,aggregating,"In digital humanities, “aggregating” means the act of collecting together physical or conceptual objects—such as datasets, texts, images, metadata, or annotations—into a unified set or platform for access, analysis, or curation (per Wikidata Q23007394).","- “Aggregating” is a broader concept than “Recolección.”
- “Recolección” has the narrower concept “Aggregating.”"
https://vocabs.dariah.eu/tadirah/analyzing,Source,Class,an lisis,"Análisis, en humanidades digitales, es la actividad de examinar información de colecciones de datos para descubrir fenómenos recurrentes, unidades, elementos, patrones y agrupamientos, ya sea en aspectos estructurales, formales o semánticos de los datos.","- “Analyse spatiale” is a broader concept of “Análisis”.
- “Análise de conteúdo” is a broader concept of “Análisis”.
- “Análisis de redes” is a broader concept of “Análisis”.
- “Stilistische Analyse” is a broader concept of “Análisis”.
- “Structural Analysis” is a broader concept of “Análisis”.
- “TaDiRAH” has top concept “Análisis”.
- “Visualização” is a broader concept of “Análisis”.
- “Релациона анализа” is a broader concept of “Análisis”.
- “Análisis” closely matches “index.php?tema=25”.
- “Análisis” has narrower concept “Analyse spatiale”.
- “Análisis” has narrower concept “Análise de conteúdo”.
- “Análisis” has narrower concept “Análisis de redes”.
- “Análisis” has narrower concept “Stilistische Analyse”.
- “Análisis” has narrower concept “Structural Analysis”.
- “Análisis” has narrower concept “Visualização”.
- “Análisis” has narrower concept “Релациона анализа”.
- “Análisis” is top concept of “TaDiRAH”."
https://vocabs.dariah.eu/tadirah/analyzing,Source,Class,an lisis,"En humanidades digitales, “Análisis” es la actividad de examinar información procedente de colecciones de datos para descubrir fenómenos recurrentes, unidades, elementos, patrones o agrupaciones, ya sea en sus aspectos estructurales, formales o semánticos.","- “Analyse spatiale” is a broader concept’s narrower of “Análisis”. (i.e., “Analyse spatiale” has broader “Análisis”.)
- “Análise de conteúdo” has broader “Análisis”.
- “Análisis de redes” has broader “Análisis”.
- “Stilistische Analyse” has broader “Análisis”.
- “Structural Analysis” has broader “Análisis”.
- “TaDiRAH” has top concept “Análisis”.
- “Visualização” has broader “Análisis”.
- “Релациона анализа” has broader “Análisis”.
- “Análisis” closely matches “index.php?tema=25”.
- “Análisis” has narrower “Analyse spatiale”.
- “Análisis” has narrower “Análise de conteúdo”.
- “Análisis” has narrower “Análisis de redes”.
- “Análisis” has narrower “Stilistische Analyse”.
- “Análisis” has narrower “Structural Analysis”.
- “Análisis” has narrower “Visualização”.
- “Análisis” has narrower “Релациона анализа”.
- “Análisis” is a top concept of “TaDiRAH”."
