Entity1,Entity2
source:Acceleration,target:Acceleration
source:Ag,target:Symbol
source:Am,target:AtomicMass
source:AmountOfSubstance,target:AmountOfSubstance
source:Ar,target:StandaloneAtom
source:Area,target:Area
source:As,target:StandaloneAtom
source:At,target:Atom
source:Atom,target:Atom
source:Au,target:Symbol
source:Bamboo,target:NaturalMaterial
source:Bk,target:BoltzmannConstant
source:CGS_units,target:CGSUnit
source:CarburizingAndNitrizing,target:Process
source:Cd,target:Symbol
source:Circles,target:Circle
source:Clay,target:NaturalMaterial
source:Co,target:Symbol
source:CommonName,target:Conventional
source:Concentration,target:AmountConcentration
source:Conductivity,target:ElectricConductivity
source:Cork,target:NaturalMaterial
source:Cu,target:Symbol
source:Cube,target:CubicMetre
source:Current,target:ElectricCurrentDimension
source:CurrentDensity,target:CurrentDensity
source:Density,target:Density
source:Ds,target:Dispersion
source:Dy,target:Symbol
source:ElectricCapacitance,target:Capacitance
source:ElectricCharge,target:ElectricCharge
source:ElectricConductance,target:ElectricConductance
source:ElectricConstant,target:VacuumElectricPermittivity
source:ElectricCurrent,target:ElectricCurrent
source:ElectricInductance,target:ElectricInductance
source:ElectricPotential,target:ElectricPotential
source:ElectricPotentialDifference,target:Volt
source:ElectricResistance,target:ElectricResistance
source:ElectricalConductivity,target:ElectricConductivity
source:ElectricalResistivity,target:ElectricResistivity
source:Energy,target:Energy
source:Entropy,target:Entropy
source:Er,target:Symbol
source:F,target:Force
source:Fe,target:Symbol
source:Flats,target:Plane
source:Fm,target:Femto
source:Foams,target:Foam
source:Force,target:Force
source:Frequency,target:Frequency
source:Ga,target:StandaloneAtom
source:Gas,target:Gas
source:Glass-Amorphous,target:Solid
source:H,target:MagneticFieldStrength
source:He,target:Symbol
source:Hf,target:Symbol
source:Hg,target:Symbol
source:Ho,target:Symbol
source:I,target:SIUnit
source:Illuminance,target:Illuminance
source:Ir,target:Symbol
source:La,target:Symbol
source:Length,target:Length
source:Li,target:Symbol
source:LinearFrequency,target:Hertz
source:Liquid,target:Liquid
source:LongitudinalSoundVelocity,target:Speed
source:Lr,target:AtomicNumber
source:Luminance,target:Luminance
source:LuminousFlux,target:LuminousFlux
source:LuminousIntensity,target:LuminousIntensity
source:Lv,target:Vapor
source:MagneticConstant,target:VacuumMagneticPermeability
source:MagneticFieldStrength,target:MagneticFieldStrength
source:MagneticFlux,target:MagneticFlux
source:MagneticFluxDensity,target:MagneticFluxDensity
source:MagneticMoment,target:MagneticDipoleMoment
source:Mass,target:Mass
source:MassDensity,target:Density
source:MaterialProperty,target:Property
source:Mixture,target:Mixture
source:Mo,target:Mole
source:MomentOfForce,target:Torque
source:Momentum,target:Momentum
source:Mt,target:Tonne
source:N,target:Newton
source:Nb,target:Number
source:Ne,target:NeutralAtom
source:NewtonianConstantOfGravitation,target:NewtonianConstantOfGravity
source:Np,target:NanoParticle
source:P,target:Pressure
source:Pa,target:Pressure
source:Pb,target:Symbol
source:Permeability,target:Permeability
source:Permittivity,target:Permittivity
source:Physical,target:Physical
source:PhysicalConstant,target:PhysicalConstant
source:PhysicalQuantity,target:PhysicalQuantity
source:Physico-chemicalConstant,target:PhysicalConstant
source:PlanckConstant,target:PlanckConstant
source:PlaneAngle,target:Angle
source:Power,target:Power
source:Pressure,target:Pressure
source:Property,target:Property
source:Re,target:StandaloneAtom
source:RefractiveIndex,target:RefractiveIndex
source:Rh,target:Symbol
source:Ru,target:Symbol
source:S,target:Stress
source:SI_units,target:SIUnit
source:Sc,target:Symbol
source:Si,target:Symbol
source:SlopeOfTcAt0GPa,target:Gradient
source:Sm,target:Symbol
source:Sn,target:Symbol
source:SolidAngle,target:SolidAngle
source:SolidSolution,target:SolidSolution
source:SoundVelocity,target:Speed
source:SpecificEntropy,target:Entropy
source:Speed,target:Speed
source:SpeedOfLight_in_vacuum,target:SpeedOfLightInVacuum
source:Sphere,target:Sphere
source:StaticPermittivity,target:Permittivity
source:Substance,target:Material
source:Symbol,target:Symbol
source:Ta,target:Symbol
source:Temperature,target:ThermodynamicTemperature
source:ThermodynamicTemperature,target:ThermodynamicTemperature
source:Ti,target:Symbol
source:Time,target:Time
source:Tl,target:Symbol
source:Tm,target:Time
source:Torus,target:Torus
source:UnitDimension,target:PhysicalDimension
source:V,target:Volume
source:Vacuum,target:Vacuum
source:Volume,target:Volume
source:W,target:Power
source:WaveNumber,target:Wavenumber
source:Y,target:Yotta
source:Yb,target:Symbol
source:Zn,target:Symbol
source:Pressure,target:Pressure
source:Property,target:Property
source:Temperature,target:ThermodynamicTemperature
source:UnitDimension,target:PhysicalDimension
source:CommonName,target:Conventional
source:Geometry,target:Geometrical
source:MaterialCharacteristics,target:hasProperty
source:SpecimenSize,target:hasPhysicalDimension
