Entity2,Entity1
target:ElectricInductance,source:ElectricInductance
target:Density,source:Density
target:Permeability,source:Permeability
target:Power,source:Power
target:Permittivity,source:Permittivity
target:ElectricCharge,source:ElectricCharge
target:MassConcentration,source:Concentration
target:AvogadroConstant,source:AmountOfSubstance
target:Force,source:Force
target:ElectricPotentialDimension,source:ElectricPotential
target:Energy,source:Energy
target:ElectricConductanceDimension,source:ElectricConductance
target:Enthalpy,source:MolarEnthalpy
target:Momentum,source:Momentum
target:ElectricPotential,source:ElectricPotential
target:Pressure,source:Pressure
target:LuminousIntensity,source:LuminousIntensity
target:InductanceDimension,source:ElectricInductance
target:RefractiveIndex,source:RefractiveIndex
target:VacuumElectricPermittivity,source:StaticPermittivity
target:PlanckConstant,source:PlanckConstant
target:CurrentDensity,source:CurrentDensity
target:Speed,source:Speed
target:AmountOfSubstance,source:AmountOfSubstance
target:InternalEnergy,source:U
target:Frequency,source:Frequency
target:MagneticFluxDensity,source:MagneticFluxDensity
target:Area,source:Area
target:Luminance,source:Luminance
target:Capacitance,source:ElectricCapacitance
target:Entropy,source:Entropy
target:Torque,source:MomentOfForce
target:ThermodynamicTemperature,source:ThermodynamicTemperature
target:CapacitanceDimension,source:ElectricCapacitance
target:MagneticFieldStrength,source:MagneticFieldStrength
target:ElectricCurrent,source:ElectricCurrent
target:ElectronCharge,source:ElectricCharge
target:Length,source:Length
target:ElectricConductivity,source:ElectricalConductivity
target:ElectricCurrentDimension,source:ElectricCurrent
target:Wavenumber,source:WaveNumber
target:NewtonianConstantOfGravity,source:NewtonianConstantOfGravitation
target:VacuumMagneticPermeability,source:MagneticConstant
target:ElectricResistivity,source:ElectricalResistivity
target:LuminousFlux,source:LuminousFlux
target:Acceleration,source:Acceleration
target:SolidAngle,source:SolidAngle
target:ElectricResistance,source:ElectricResistance
target:MagneticFluxDensityDimension,source:MagneticFluxDensity
target:Mass,source:Mass
target:Volume,source:Volume
target:ElectricConductance,source:ElectricConductance
target:BoltzmannConstant,source:K
target:PhaseHomogeneousMixture,source:SolidSolution
target:Foam,source:Foams
target:SolidLiquidSuspension,source:Mixture
target:SolidSol,source:SolidSolution
target:SolidSolution,source:SolidSolution
target:Liquid,source:Liquid
target:Fluid,source:Liquid
target:GasLiquidSuspension,source:Foams
target:Vector,source:V
target:Exponent,source:Power
target:PhysicalQuantity,source:PhysicalQuantity
target:PhysicalConstant,source:PhysicalConstant
target:Acoustical,source:LongitudinalSoundVelocity
target:Torus,source:Torus
target:Sphere,source:Sphere
target:Vacuum,source:Vacuum
target:Material,source:EngineeringMaterial
target:Property,source:Property
target:ConventionalQuantitativeProperty,source:MaterialProperty
target:Index,source:RefractiveIndex
target:Gray,source:GrayCastIron
target:Kelvin,source:Temperature
target:Second,source:Nd
target:Exa,source:Xe
target:Coulomb,source:ElectricCharge
target:Kilo,source:K
target:Metre,source:Length
target:Joule,source:Energy
target:Kilogram,source:Mass
target:Radian,source:PlaneAngle
target:Pascal,source:P
target:Newton,source:N
target:DegreeCelsius,source:Temperature
target:Centi,source:Cm
target:Mole,source:AmountOfSubstance
target:Volt,source:ElectricPotential
target:Hertz,source:Frequency
target:MetrePerSecond,source:Speed
target:CGSUnit,source:CGS_units
target:VolumeFractionUnit,source:V
target:CubicMetre,source:Cube
target:Litre,source:Volume
target:SquareMetre,source:Sm
target:Neper,source:Ne
target:NewtonMetre,source:MomentOfForce
target:Tonne,source:Mass
target:Physical,source:Physical
