Entity1,Entity2
source:Acceleration,target:Acceleration
source:AmountOfSubstance,target:AmountOfSubstance
source:Area,target:Area
source:Atom,target:Atom
source:Density,target:Density
source:ElectricCapacitance,target:Capacitance
source:ElectricCharge,target:ElectricCharge
source:ElectricConductance,target:ElectricConductance
source:ElectricCurrent,target:ElectricCurrent
source:ElectricResistance,target:ElectricResistance
source:Energy,target:Energy
source:Entropy,target:Entropy
source:Force,target:Force
source:Frequency,target:Frequency
source:Illuminance,target:Illuminance
source:Length,target:Length
source:Luminance,target:Luminance
source:LuminousFlux,target:LuminousFlux
source:LuminousIntensity,target:LuminousIntensity
source:MagneticFieldStrength,target:MagneticFieldStrength
source:MagneticFlux,target:MagneticFlux
source:MagneticFluxDensity,target:MagneticFluxDensity
source:Mass,target:Mass
source:Mixture,target:Mixture
source:MolarEnthalpy,target:Enthalpy
source:Permeability,target:Permeability
source:Permittivity,target:Permittivity
source:PlaneAngle,target:Angle
source:Power,target:Power
source:Pressure,target:Pressure
source:S,target:Stress
source:SolidAngle,target:SolidAngle
source:SoundVelocity,target:Velocity
source:Specimen,target:Object
source:Time,target:Time
source:Volume,target:Volume
source:WaveNumber,target:Wavenumber
