Entity1,Entity2
source:AISI4000SeriesSteel,target:Alloy
source:AbsorbedDoseRate,target:AbsorbedDoseRate
source:Ac,target:ActiniumAtom
source:Acceleration,target:Acceleration
source:Ag,target:Silver
source:Al,target:Aluminium
source:Alloy,target:Alloy
source:AluminumCastingAlloy,target:Material
source:Am,target:AmericiumAtom
source:AmorphousMetal,target:Glasses
source:AmountOfSubstance,target:AmountOfSubstance
source:AngularAcceleration,target:AngularAcceleration
source:AngularSpeed,target:AngularVelocity
source:Ar,target:Argon
source:Area,target:Area
source:As,target:ArsenicAtom
source:At,target:Atom
source:Atom,target:Atom
source:Au,target:Gold
source:B,target:Boron
source:Ba,target:BariumAtom
source:Base,target:Base
source:Be,target:BerylliumAtom
source:Bh,target:Hardness
source:Bi,target:Bismuth
source:Bk,target:Berkelium
source:Br,target:Bromine
source:BulkModulus,target:BulkModulus
source:C,target:Carbon
source:Ca,target:Calcium
source:Cd,target:Cadmium
source:Ce,target:Cerium
source:Chemical,target:ChemicalSubstance
source:Cl,target:Chlorine
source:Co,target:CobaltAtom
source:CommonName,target:Name
source:Compound,target:Compound
source:CompoundSubstance,target:Compound
source:Concentration,target:Concentration
source:Cr,target:Chromium
source:Cs,target:Caesium
source:Cu,target:CopperAtom
source:Current,target:ElectricCurrent
source:Density,target:Density
source:Dy,target:Dysprosium
source:DynamicViscosity,target:Viscosity
source:ElectricCapacitance,target:Capacitance
source:ElectricCharge,target:ElectricCharge
source:ElectricChargeDensity,target:ElectricChargeDensity
source:ElectricConductance,target:ElectricConductance
source:ElectricConstant,target:Permittivity
source:ElectricCurrent,target:ElectricCurrent
source:ElectricFieldStrength,target:ElectricFieldStrength
source:ElectricFluxDensity,target:ElectricFluxDensity
source:ElectricInductance,target:Inductance
source:ElectricPotentialDifference,target:PotentialDifference
source:ElectricResistance,target:ElectricResistance
source:ElementalSubstance,target:Element
source:Energy,target:Energy
source:EnergyDensity,target:EnergyDensity
source:EnergyGap,target:BandGap
source:EnergyGapForDirectTransition,target:BandGap
source:Entropy,target:Entropy
source:Er,target:Erbium
source:Es,target:Einsteinium
source:Eu,target:Europium
source:Exposure,target:Exposure
source:F,target:Force
source:Fe,target:Iron
source:Fl,target:Fluorine
source:Fm,target:Fermium
source:Force,target:Force
source:Frequency,target:Frequency
source:Ga,target:Gallium
source:Gas,target:GasPhase
source:Gd,target:Gadolinium
source:Ge,target:Germanium
source:Glass,target:Glasses
source:Glass-Amorphous,target:Glasses
source:H,target:Hardness
source:Halide,target:HalogenCompound
source:He,target:Helium
source:HeatCapacity,target:HeatCapacity
source:Hf,target:Hafnium
source:Hg,target:MercuryAtom
source:Ho,target:Holmium
source:Hs,target:Hardness
source:I,target:IodineAtom
source:Illuminance,target:Illuminance
source:In,target:Indium
source:InorganicMetalloid,target:Metalloid
source:Ir,target:Iridium
source:Irradiance,target:Irradiance
source:K,target:Potassium
source:KnoopHardnessNumber,target:Hardness
source:Kr,target:Krypton
source:La,target:Lanthanum
source:Length,target:Length
source:Li,target:LithiumAtom
source:LinearMassDensity,target:LinearDensity
source:LinearThermalExpansionCoefficient,target:ThermalExpansion
source:LinearThermalExpansionCoefficient_D,target:ThermalExpansion
source:Liquid,target:LiquidPhase
source:LongitudinalElasticCoefficient,target:YoungsModulus
source:Lr,target:LawrenciumAtom
source:Lu,target:Lutetium
source:Luminance,target:Luminance
source:LuminousFlux,target:LuminousFlux
source:LuminousIntensity,target:LuminousIntensity
source:MagneticFieldStrength,target:MagneticFieldStrength
source:MagneticFlux,target:MagneticFlux
source:MagneticFluxDensity,target:MagneticFluxDensity
source:Mass,target:Mass
source:MassDensity,target:Density
source:MaterialInformation,target:Information
source:Md,target:MendeleviumAtom
source:MeltingTemperature,target:MeltingPoint
source:Metal,target:Metals
source:Mg,target:Magnesium
source:Mixture,target:Mixture
source:Mn,target:Manganese
source:Mo,target:MolybdenumAtom
source:MolarEnergy,target:MolarEnergy
source:MolarEntropy,target:MolarEntropy
